caso_id_canonico,parser_es_revision_fondo,parser_disposicion,parser_reenvia,parser_parte_ganadora,parser_via_recurso,parser_multi_recurso,_ctx_outcome_m19,_ctx_is_merit
330_p4797,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
330_p5010,si,revoca,no,recurrente_gana,recurso_extraordinario,no,procedente,1
330_p5064,no,no_fondo,no,no_aplica,recurso_extraordinario,no,abstracto,0
330_p5131,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
330_p5197,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
330_p5435,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,procedente,1
331_p68,no,no_revision_competencia,no,no_aplica,,no,competencia,0
331_p116,no,no_fondo,no,no_aplica,,no,competencia,0
331_p123,si,revoca,no,recurrente_gana,recurso_ordinario,no,hace_lugar,1
331_p194,no,no_fondo,no,no_aplica,,no,competencia,0
331_p355,no,no_revision_procesal,no,no_aplica,,no,rechaza,0
331_p499,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
331_p536,si,confirma,no,recurrente_pierde,recurso_extraordinario,no,confirma,1
331_p846,no,no_fondo,no,no_aplica,,no,rechaza,0
331_p989,no,no_revision_competencia,no,no_aplica,recurso_extraordinario,no,competencia,0
331_p1651,si,revoca,no,recurrente_gana,recurso_ordinario,no,revoca,1
331_p2166,si,revoca,no,recurrente_gana,recurso_ordinario,si,revoca,1
331_p2257,si,confirma,no,recurrente_pierde,recurso_extraordinario,no,procedente,1
331_p2266,si,revoca,no,recurrente_gana,recurso_extraordinario,no,procedente,1
331_p2283,no,no_fondo,no,no_aplica,,no,desestima,0
331_p2608,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
331_p2621,si,confirma,no,recurrente_pierde,recurso_extraordinario,no,rechaza,1
331_p2839,si,revoca,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
331_p2910,no,no_fondo,no,no_aplica,,no,otro,0
331_p2913,no,no_fondo,no,no_aplica,,no,competencia,0
332_p105,si,revoca,si,recurrente_gana,recurso_extraordinario,si,revoca,1
332_p324,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
332_p548,no,no_fondo,no,no_aplica,,no,competencia,0
332_p582,no,no_fondo,no,no_aplica,,no,desestima,0
332_p595,si,revoca,si,recurrente_gana,recurso_extraordinario,si,procedente,1
332_p810,no,no_revision_competencia,no,no_aplica,,no,competencia,0
332_p850,si,revoca,no,recurrente_gana,recurso_ordinario,no,revoca,1
332_p962,si,confirma,no,recurrente_pierde,recurso_extraordinario,no,procedente,1
332_p979,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
332_p1029,no,no_revision_competencia,no,no_aplica,,no,competencia,0
332_p1035,si,confirma,no,recurrente_pierde,recurso_ordinario,no,confirma,1
332_p1280,no,no_fondo,no,no_aplica,,no,competencia,0
332_p1338,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
332_p1382,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
332_p1629,si,confirma,no,recurrente_pierde,recurso_ordinario,no,confirma,1
332_p1704,si,no_revision_demanda,no,no_aplica,,no,hace_lugar,1
332_p1741,no,no_revision_competencia,no,no_aplica,,no,competencia,0
332_p2043,si,revoca,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
332_p2502,no,no_revision_procesal,no,no_aplica,,no,rechaza,0
332_p2604,si,revoca,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
332_p2625,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,desestima,1
332_p2797,no,no_revision_procesal,no,no_aplica,recurso_ordinario,si,revoca,0
333_p9,si,no_revision_demanda,no,no_aplica,recurso_extraordinario,no,rechaza,1
333_p60,no,no_fondo,no,no_aplica,,no,otro,0
333_p215,si,no_revision_demanda,no,no_aplica,,no,hace_lugar,1
333_p241,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
333_p290,no,no_revision_competencia,no,no_aplica,,no,competencia,0
333_p300,si,revoca,no,recurrente_gana,recurso_extraordinario,no,revoca,1
333_p447,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
333_p508,no,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,abstracto,0
333_p1235,no,no_fondo,no,no_aplica,,no,desestima,0
333_p1639,si,revoca,no,recurrente_gana,recurso_extraordinario,no,procedente,1
333_p2010,si,grant_remand_implicito,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
334_p44,si,revoca,no,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
334_p376,si,no_revision_demanda,no,no_aplica,,no,rechaza,1
334_p490,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,deja_sin_efecto,1
334_p941,si,confirma,no,recurrente_pierde,recurso_ordinario,no,confirma,1
334_p1070,no,no_revision_competencia,no,no_aplica,,no,competencia,0
334_p1074,si,confirma,no,recurrente_pierde,recurso_ordinario,no,confirma,1
334_p1081,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,deja_sin_efecto,1
334_p1204,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
334_p1276,si,revoca,si,recurrente_gana,recurso_extraordinario,no,revoca,1
337_p329,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,deja_sin_efecto,1
337_p373,si,confirma,no,recurrente_pierde,recurso_ordinario,no,confirma,1
337_p481,si,revoca,no,recurrente_gana,recurso_extraordinario,no,revoca,1
337_p505,si,revoca,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
337_p735,no,no_revision_competencia,no,no_aplica,,no,competencia,0
337_p771,si,revoca,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
337_p1095,si,revoca,no,recurrente_gana,recurso_extraordinario,no,revoca,1
337_p1142,si,confirma,no,recurrente_pierde,recurso_ordinario,no,confirma,1
337_p1234,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,procedente,1
337_p1581,si,revoca,no,recurrente_gana,recurso_extraordinario,no,revoca,1
338_p40,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,si,desestima,1
338_p102,si,revoca,no,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
338_p148,si,revoca,no,recurrente_gana,recurso_extraordinario,no,revoca,1
338_p155,si,revoca,no,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
338_p249,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
338_p280,no,no_fondo,no,no_aplica,,no,desestima,0
338_p419,no,no_revision_competencia,no,no_aplica,,no,competencia,0
338_p1252,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
339_p155,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
339_p183,no,no_fondo,no,no_aplica,,no,desestima,0
339_p274,no,no_revision_procesal,no,no_aplica,,no,desestima,0
339_p434,si,revoca,si,recurrente_gana,recurso_extraordinario,no,revoca,1
339_p490,no,revoca,no,recurrente_gana,recurso_extraordinario,si,competencia,0
339_p506,no,no_fondo,no,no_aplica,,no,competencia,0
339_p597,no,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,desestima,0
339_p824,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
339_p1048,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
339_p1171,no,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,desestima,0
339_p1530,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
339_p1567,si,deja_sin_efecto,si,recurrente_gana,,no,hace_lugar,1
339_p1621,no,no_fondo,no,no_aplica,,no,desestima,0
339_p1834,no,no_revision_competencia,no,no_aplica,,no,competencia,0
340_p95,no,no_revision_competencia,no,no_aplica,,no,competencia,0
340_p397,no,no_fondo,no,no_aplica,,no,otro,0
340_p431,no,revoca,no,recurrente_gana,recurso_extraordinario,no,competencia,0
340_p708,no,no_revision_competencia,no,no_aplica,,no,competencia,0
340_p732,no,no_revision_competencia,no,no_aplica,,no,competencia,0
340_p786,no,no_fondo,no,no_aplica,,no,competencia,0
340_p822,no,no_fondo,no,no_aplica,,no,otro,0
340_p900,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
340_p1395,no,no_fondo,no,no_aplica,,no,desestima,0
340_p1398,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
340_p1441,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
340_p1450,si,confirma,no,recurrente_pierde,recurso_extraordinario,no,procedente,1
340_p1551,no,no_revision_competencia,no,no_aplica,,no,competencia,0
340_p1554,no,no_fondo,no,no_aplica,,no,desistimiento,0
341_p127,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
341_p324,no,no_revision_competencia,no,no_aplica,,no,competencia,0
341_p335,no,no_revision_procesal,no,no_aplica,,no,rechaza,0
341_p500,si,revoca,no,recurrente_gana,recurso_extraordinario,no,procedente,1
341_p566,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
341_p600,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
341_p1338,no,no_fondo,no,no_aplica,,no,competencia,0
341_p1649,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
342_p507,no,no_fondo,no,no_aplica,,no,desistimiento,0
342_p824,no,no_fondo,no,no_aplica,,no,rechaza,0
342_p969,si,confirma,no,recurrente_pierde,recurso_extraordinario,no,confirma,1
342_p1358,si,revoca,no,recurrente_gana,recurso_extraordinario,no,procedente,1
342_p1393,si,confirma,no,recurrente_pierde,recurso_extraordinario,no,confirma,1
342_p1456,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
342_p1483,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
342_p2083,si,revoca,no,recurrente_gana,recurso_extraordinario,no,revoca,1
342_p2399,no,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,cautelar,0
