variable,n,acuerdo,kappa,ic95_lo,ic95_hi,lectura,deg_pct
es_revision_fondo,300,0.97,0.94,0.899,0.973,casi perfecto,0.0
via_recurso,133,0.985,0.943,0.85,1.0,casi perfecto,0.0
disposicion,140,0.943,0.912,0.847,0.966,casi perfecto,0.0
parte_ganadora,134,0.933,0.784,0.632,0.908,sustancial,0.0
reenvia,75,0.827,0.408,0.16,0.635,moderado,0.0
