caso_id,tomo,tipo_cambio,old_outcome,new_outcome,old_vp,new_vp,old_n,new_n,old_pet,new_pet,new_variante,new_firma
329_p4066,329,REGRESION_menos_jueces,desestima,otro,disidencia,unanime,7,1,"Por ello, oído el señor Procurador Fiscal se los desestiman.","Por lo expuesto, oído el señor Procurador Fiscal debe confir",por_lo_expuesto,CARMEN M. ARGIBAY. Recurso extraordinario interpuesto por el Estado Nacional –Es
329_p4178,329,cambio_outcome,originaria,otro,disidencia,disidencia,5,5,"Por ello, se resuelve: I.– Declarar que la presente causa co","Por ello, se decide: Hacer lugar a la demanda, declarar la i",por_ello,EDUARDO MOLINÉ O’CONNOR — AUGUSTO CÉSAR BELLUSCIO — ENRIQUE SANTIAGO PETRACCHI —
329_p4360,329,REGRESION_menos_jueces,desestima,procedente,disidencia,unanime,6,1,"Por ello, se desestima la queja. Declárase perdido el depósi","Por ello, se declara procedente la presentación directa y el",por_ello,RICARDO LUIS LORENZETTI.
329_p4449,329,mejora_gano_firma,otro,otro,sin_firma,unanime,0,5,"Por ello, agrega, en cumplimiento de la autorización que le ","Por ello, oído el señor Procurador General de la Nación, se ",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p4593,329,cambio_outcome,otro,procedente,disidencia,disidencia,7,7,"En consecuencia, al conceder el recurso extraordinario lo ha",Por ello y lo concordemente dictaminado por el señor Procura,por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p4652,329,REGRESION_menos_jueces,hace_lugar,desestima,disidencia,unanime,6,1,"Por ello, se hace lugar a la queja, se declara procedente el","Por ello, oído el señor Procurador Fiscal subrogante, se des",por_ello,CARMEN M. ARGIBAY.
329_p4682,329,REGRESION_menos_jueces,hace_lugar,otro,disidencia,unanime,7,2,"Por ello, se hace lugar parcialmente a las quejas y a los re","Por ello, y oído el señor Procurador Fiscal subrogante, se d",por_ello,ELENA I. HIGHTON DE NOLASCO — CARMEN M. ARGIBAY.
329_p4770,329,mejora_mas_jueces,otro,otro,unanime,disidencia,5,7,"Por ello, se deja sin efecto, respecto de esta queja, lo res","Por ello, se resuelve: Hacer lugar a la queja, declarar proc",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (en di
329_p4811,329,REGRESION_menos_jueces,otro,otro,unanime,unanime,5,2,"Por ello, se resuelve: Declarar que la presente causa es aje","en consecuencia, la oposición incoada por Lago Espejo Resort",en_consecuencia,ENRIQUE SANTIAGO PETRACCHI — JUAN CARLOS MAQUEDA — E. RAÚL
329_p4829,329,mejora_gano_firma,otro,originaria,sin_firma,unanime,0,7,"en consecuencia, los arts. 1º, 14, 16, 17, 28, 31, 33, 75, i","Por ello, y de conformidad con lo dictaminado por la señora ",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
