tomo,n_catalogo,n_parser,delta,estado
329,1063,1063,0,OK
330,757,757,0,OK
331,376,365,-11,PARSER PIERDE 11
332,330,319,-11,PARSER PIERDE 11
333,252,241,-11,PARSER PIERDE 11
334,199,189,-10,PARSER PIERDE 10
337,130,130,0,OK
338,167,167,0,OK
339,328,328,0,OK
340,277,277,0,OK
341,241,241,0,OK
342,219,219,0,OK
343,239,239,0,OK
344,321,321,0,OK
345,219,219,0,OK
346,208,208,0,OK
347,240,240,0,OK
348,251,251,0,OK
349,45,45,0,OK
