TIPOS DE CASO-value,TIPOS DE CASO-alias,VIA DE ACCESO-value,VIA DE ACCESO-alias,REC(casos con fallos 2025.sav)-alias,SENTIDO RESOLUCION (casos con fallos 2025.sav)-value,SENTIDO RESOLUCION (casos con fallos 2025.sav)-alias,REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:2]-alias
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",12,DECLARA INOFICIOSO,DECLARA INOFICIOSO,0.3870967741935484
DEMANDAS ORIGINARIAS,DEMANDAS ORIGINARIAS,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",4,DECLARA INOFICIOSO,DECLARA INOFICIOSO,0.0547945205479452
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",124,DECLARA INOFICIOSO,DECLARA INOFICIOSO,0.06631016042780749
DEMANDAS ORIGINARIAS,DEMANDAS ORIGINARIAS,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",24,DECLARA COMPETENCIA,DECLARA COMPETENCIA,0.3287671232876712
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",1717,DECLARA COMPETENCIA,DECLARA COMPETENCIA,0.9181818181818182
%all%,Todo,%all%,Todo,1979,%all%,%all%,1
%all%,Todo,%all%,Todo,1,SE TIENE POR DESISTIDO,SE TIENE POR DESISTIDO,0.0005053057099545225
%all%,Todo,%all%,Todo,1,RECHAZA LA DEMANDA,RECHAZA LA DEMANDA,0.0005053057099545225
%all%,Todo,%all%,Todo,1,DEJA SIN EFECTO,DEJA SIN EFECTO,0.0005053057099545225
%all%,Todo,%all%,Todo,1,CONFIRMA,CONFIRMA,0.0005053057099545225
%all%,Todo,%all%,Todo,3,MODIFICA,MODIFICA,0.0015159171298635675
%all%,Todo,%all%,Todo,4,ADMITE,ADMITE,0.00202122283981809
%all%,Todo,%all%,Todo,6,DECLARA CADUCIDAD,DECLARA CADUCIDAD,0.003031834259727135
%all%,Todo,%all%,Todo,11,RECHAZA,RECHAZA,0.0055583628094997475
%all%,Todo,%all%,Todo,14,DECLARA ABSTRACTA LA CUESTION,DECLARA ABSTRACTA LA CUESTION,0.007074279939363315
%all%,Todo,%all%,Todo,26,DESESTIMA,DESESTIMA,0.013137948458817585
%all%,Todo,%all%,Todo,30,HACE LUGAR A  LA DEMANDA,HACE LUGAR A  LA DEMANDA,0.015159171298635674
%all%,Todo,%all%,Todo,140,DECLARA INOFICIOSO,DECLARA INOFICIOSO,0.07074279939363315
%all%,Todo,%all%,Todo,1741,DECLARA COMPETENCIA,DECLARA COMPETENCIA,0.8797372410308236
