caso,outcome,merit,orig,queja,pe_cambio,pe_viejo_cola,pe_nuevo_300,pe_nuevo_cola
330_p5201,,,,nan->procedente,si," la sentencia apelada. Vuelvan los autos al tribunal de ori- gen para que, por medio de quien corresponda, proceda a dictar un 5205 DE JUSTICIA DE LA NACION 330","Por ello, se declara procedente el recurso extraordinario, y se deja sin efecto la sentencia apelada. Vuelvan los autos al tribunal de ori- gen para que, por medio de quien corresponda, proceda a dictar un nuevo fallo con arreglo a lo indicado. Costas a la demandada en todas las instancias (art. 14 ","ponda, proceda a dictar un nuevo fallo con arreglo a lo indicado. Costas a la demandada en todas las instancias (art. 14 de la ley 16.986). Agréguese la queja al princi- pal, notifíquese y devuélvase."
331_p1441,hace_lugar->confirma,0->1,,,si,"racchi para intervenir en los autos supra citados; 1448 FALLOS DE LA CORTE SUPREMA 331 2º) hacer lugar a la queja, declarar procedente el recurso extraordinario","Por ello se resuelve: 1º) Aceptar la excusación formulada por el juez  Enrique Santiago Petracchi para intervenir en los autos supra citados; 2º) hacer lugar a la queja, declarar procedente el recurso extraordinario  y confirmar la sentencia apelada, con costas en el orden causado en  razón de la no","la sentencia apelada, con costas en el orden causado en  razón de la novedad de la cuestión debatida (art. 68, ap. segundo, del  Código Procesal Civil y Comercial de la Nación). Notifíquese, agréguese"
331_p2109,,,,nan->procedente,si,"sentencia apelada. Con costas. Vuelvan los autos al tri- bunal de origen a fin de que, por medio de quien corresponda, proceda 2119 DE JUSTICIA DE LA NACION 331","Por ello, se declara procedente el recurso extraordinario y se deja  sin efecto la sentencia apelada. Con costas. Vuelvan los autos al tri- bunal de origen a fin de que, por medio de quien corresponda, proceda a dictar nuevo fallo con arreglo a lo expresado. Agréguese la queja al  principal. Notifíq","van los autos al tri- bunal de origen a fin de que, por medio de quien corresponda, proceda a dictar nuevo fallo con arreglo a lo expresado. Agréguese la queja al  principal. Notifíquese y devuélvase."
331_p2480,,,,nan->procedente,si,"la sentencia apelada. Con costas. Vuelvan los autos al tri- bunal de origen para que, por quien corresponda, se dicte un nuevo 2485 DE JUSTICIA DE LA NACION 331","Por ello, se declara procedente el recurso extraordinario y se deja  sin efecto la sentencia apelada. Con costas. Vuelvan los autos al tri- bunal de origen para que, por quien corresponda, se dicte un nuevo pronunciamiento con arreglo a la presente. Reintégrese el depósito de  fs. 1. Agréguese la qu","unal de origen para que, por quien corresponda, se dicte un nuevo pronunciamiento con arreglo a la presente. Reintégrese el depósito de  fs. 1. Agréguese la queja al principal. Notifíquese y remítase."
331_p287,,0->1,,nan->hace_lugar,si,". 167/167 vta. de los autos principales, se hace lugar 291 DE JUSTICIA DE LA NACION 331 a la queja, se declara admisible el recurso extraordinario y se deja sin","Por ello, y concordemente con lo dictaminado por la señora Procu- radora Fiscal a fs. 167/167 vta. de los autos principales, se hace lugar a la queja, se declara admisible el recurso extraordinario y se deja sin  efecto la sentencia apelada, debiendo volver los autos principales a la  instancia de o","encia apelada, debiendo volver los autos principales a la  instancia de origen para que, por quien corresponda, se dicte un nuevo  pronunciamiento. Reintégrese el depósito de fs. 1. Agréguese la queja"
332_p2776,otro->rechaza,,,,si,"suelve: I. Admitir la radicación de estas actuaciones 2779 DE JUSTICIA DE LA NACION 332 en la instancia originaria de esta Corte, prevista en el artículo 117 de","Por ello, y de conformidad con lo dictaminado por la señora Procu- radora Fiscal, se resuelve: I. Admitir la radicación de estas actuaciones en la instancia originaria de esta Corte, prevista en el artículo 117 de  la Constitución Nacional. II. Rechazar la medida cautelar solicitada."," resuelve: I. Admitir la radicación de estas actuaciones en la instancia originaria de esta Corte, prevista en el artículo 117 de  la Constitución Nacional. II. Rechazar la medida cautelar solicitada."
332_p663,otro->rechaza,,,,si,"Por ello, se resuelve: Aclarar la sentencia dictada a fs. 313/316 en  el sentido indicado en los considerandos que anteceden. Notifíquese.","Por ello, oídas las exposiciones de las partes sobre la situación  denunciada en autos en la audiencia informativa celebrada el 18 de febrero del corriente año, sobre la base de los fundamentos y princi- pios enunciados y, sin perjuicio de lo que en definitiva se decida, se  resuelve: I. Rechazar in","corriente año, sobre la base de los fundamentos y princi- pios enunciados y, sin perjuicio de lo que en definitiva se decida, se  resuelve: I. Rechazar in limine el planteo efectuado en el punto IV de"
333_p633,otro->confirma,0->1,,,si,"e declara admisible el recurso extraordinario y se con- 650 FALLOS DE LA CORTE SUPREMA 333 firma la sentencia apelada. Con costas. Notifíquese y, oportunamente,","Por ello, y lo concordemente dictaminado por la señora Procura- dora Fiscal, se declara admisible el recurso extraordinario y se con- firma la sentencia apelada. Con costas. Notifíquese y, oportunamente,  devuélvase.","oncordemente dictaminado por la señora Procura- dora Fiscal, se declara admisible el recurso extraordinario y se con- firma la sentencia apelada. Con costas. Notifíquese y, oportunamente,  devuélvase."
334_p1768,,,,nan->agreguese,si,ente admisible el recurso extraordinario deducido por la  demandante y se revoca la sentencia apelada. Con costas (art. 68 del 1791 DE JUSTICIA DE LA NACION 334,"Por ello, y habiendo oído a la señora Procuradora Fiscal, se decla- ra formalmente admisible el recurso extraordinario deducido por la  demandante y se revoca la sentencia apelada. Con costas (art. 68 del Código Procesal Civil y Comercial de la Nación). Agréguese la queja  al principal. Notifíquese ",nario deducido por la  demandante y se revoca la sentencia apelada. Con costas (art. 68 del Código Procesal Civil y Comercial de la Nación). Agréguese la queja  al principal. Notifíquese y devuélvase.
334_p38,,0->1,,,si,"ue este Tribunal comparte y a los que cabe remitirse por  razones de brevedad, se hace lugar a la queja, se declara procedente 44 FALLOS DE LA CORTE SUPREMA 334","Por ello, y demás fundamentos expuestos por la señora Procura- dora Fiscal, que este Tribunal comparte y a los que cabe remitirse por  razones de brevedad, se hace lugar a la queja, se declara procedente el recurso extraordinario y se deja sin efecto el fallo, con costas, rein- tégrese el depósito e","raordinario y se deja sin efecto el fallo, con costas, rein- tégrese el depósito efectuado. Vuelvan los autos al tribunal de origen  a fin de que, por quien corresponda, se dicte nuevo pronunciamiento"
334_p829,,0->1,,,si,"eñor Procurador General en M.2230.XL. “Míguez, Juan  José c/ ANSeS y otro”, se hace lugar al recurso extraordinario deducido, 836 FALLOS DE LA CORTE SUPREMA 334","que falleció el beneficiario, señor C. Por ello, y lo concordemente dicta- minado por el señor Procurador General en M.2230.XL. “Míguez, Juan  José c/ ANSeS y otro”, se hace lugar al recurso extraordinario deducido, y se revoca la sentencia apelada con los alcances indicados. Hágase  saber y, oportu","deducido, y se revoca la sentencia apelada con los alcances indicados. Hágase  saber y, oportunamente, devuélvase a fin que, por quien corresponda,  sea dictado un nuevo fallo con arreglo al presente."
337_p1245,otro->competencia,,,,si,"a Fiscal, se resuelve: I. Declarar que la presente causa co- 1251 DE JUSTICIA DE LA NACIÓN 337 rresponde a la competencia originaria de la Corte. II. De acuerdo","Por ello, y de conformidad con lo dictaminado por la señora Pro- curadora Fiscal, se resuelve: I. Declarar que la presente causa co- rresponde a la competencia originaria de la Corte. II. De acuerdo  con lo dispuesto por los artículos 319 y 322 del Código Procesal Civil  y Comercial de la Nación, im","lo dispuesto por los artículos 319 y 322 del Código Procesal Civil  y Comercial de la Nación, imprimir a la presente causa el trámite  del proceso ordinario. En su mérito, correr traslado de la deman-"
