caso,outcome,merit,orig,queja,pe_cambio,pe_viejo_cola,pe_nuevo_300,pe_nuevo_cola
343_p726,,,0->1,,si," sin perjuicio de lo que en el fondo se decida, se resuelve: 739 DE JUSTICIA DE LA NACIÓN 343 I. Declarar la competencia del Tribunal para conocer en esta causa","Por ello, de conformidad con lo dictaminado por la señora Procura­ dora Fiscal y sin perjuicio de lo que en el fondo se decida, se resuelve: I. Declarar la competencia del Tribunal para conocer en esta causa  por vía de su instancia originaria, prevista en el art. 117 de la Consti­ tución Nacional.","o que en el fondo se decida, se resuelve: I. Declarar la competencia del Tribunal para conocer en esta causa  por vía de su instancia originaria, prevista en el art. 117 de la Consti­ tución Nacional."
344_p2471,hace_lugar->confirma,0->1,,,si,"s facultades que le otorga el art. 16 de la ley 48, 344 2482 FALLOS DE LA CORTE SUPREMA el Tribunal resuelve: 1°) hacer lugar a las presentaciones directas, de­","Por ello, habiendo tomado intervención el Señor Defensor General  adjunto, y en uso de las facultades que le otorga el art. 16 de la ley 48, el Tribunal resuelve: 1°) hacer lugar a las presentaciones directas, de­ clarar procedentes los recursos extraordinarios interpuestos y dejar  sin efecto el fa",es los recursos extraordinarios interpuestos y dejar  sin efecto el fallo apelado; 2°) confirmar la decisión del juez de primera  instancia del 29 de marzo de 2019 (fs. 1934 del expediente 13.935/2016
344_p2559,,0->1,,nan->hace_lugar,si,"r Procurador General de la Nación interino, se hace lugar 344 2570 FALLOS DE LA CORTE SUPREMA parcialmente a la queja, se declara parcialmente procedente el re­","Por ello, de conformidad en lo pertinente con lo dictaminado por  el señor Procurador General de la Nación interino, se hace lugar parcialmente a la queja, se declara parcialmente procedente el re­ curso extraordinario y se deja sin efecto la sentencia apelada con el  alcance señalado. Agréguese la ","traordinario y se deja sin efecto la sentencia apelada con el  alcance señalado. Agréguese la queja al principal. Vuelvan los autos  al tribunal de origen a fin de que, por medio de quien corresponda,"
344_p3078,revoca->hace_lugar,,,,si,"ención el señor Defensor General adjunto, se declara pro­ 3095 DE JUSTICIA DE LA NACIÓN 344 cedente el recurso extraordinario, se revoca la sentencia apelada y,","Por ello, habiendo dictaminado el señor Procurador Fiscal y to­ mado intervención el señor Defensor General adjunto, se declara pro­ cedente el recurso extraordinario, se revoca la sentencia apelada y,  en los términos señalados, se hace lugar a la demanda de restitución  internacional (art. 16, seg","os señalados, se hace lugar a la demanda de restitución  internacional (art. 16, segunda parte, de la ley 48). Costas por su orden  atento a la naturaleza de la cuestión debatida. Notifíquese. Comuní­"
344_p48,hace_lugar->revoca,0->1,,,si,l pedido de reconsideración solicitado por el Ministe­ rio Público Fiscal y II) Hacer lugar al recurso interpuesto por el Minis­ 57 DE JUSTICIA DE LA NACIÓN 344,"Por ello, oído el señor Procurador Fiscal, el Tribunal resuelve: I)  No hacer lugar al pedido de reconsideración solicitado por el Ministe­ rio Público Fiscal y II) Hacer lugar al recurso interpuesto por el Minis­ terio Público Fiscal y revocar la resolución apelada en cuanto rechazó  el pedido de e","lico Fiscal y revocar la resolución apelada en cuanto rechazó  el pedido de extradición que de Yaakov Kopul Vogel solicitó la Repú­ blica de Francia. Notifíquese, hágase saber y devuélvase al tribunal"
345_p116,,,,nan->agreguese,si," la Nación, se declara procedente esta queja, admisible 123 DE JUSTICIA DE LA NACIÓN 345 el recurso extraordinario y se deja sin efecto el pronunciamiento recu­","Por ello, y habiendo tomado intervención el señor Defensor Gene­ ral adjunto de la Nación, se declara procedente esta queja, admisible el recurso extraordinario y se deja sin efecto el pronunciamiento recu­ rrido. Vuelvan los autos al tribunal de origen a fin de que, por medio  de quien corresponda,","lvan los autos al tribunal de origen a fin de que, por medio  de quien corresponda, proceda a dictar un nuevo pronunciamiento de  acuerdo a lo resuelto. Agréguese la queja al principal. Notifíquese y,"
345_p1417,,,,nan->procedente,si,ces expresados en este pronunciamiento. Con costas (artículo  68 del Código Procesal Civil y Comercial de la Nación). Agréguese la 1421 DE JUSTICIA DE LA NACIÓN,"Por ello, se hace parcialmente lugar a la queja, se declara proce­ dente el recurso extraordinario y se deja sin efecto la sentencia con los  alcances expresados en este pronunciamiento. Con costas (artículo  68 del Código Procesal Civil y Comercial de la Nación). Agréguese la queja al principal y v","digo Procesal Civil y Comercial de la Nación). Agréguese la queja al principal y vuelvan los autos al tribunal de origen a efectos de  que, por quien corresponda, se dicte un nuevo pronunciamiento con"
345_p229,rechaza->revoca,,,,si,"rador General de la Nación interino, el Tribunal resuel­ ve: I) Rechazar el recurso de apelación ordinario interpuesto contra 345 240 FALLOS DE LA CORTE SUPREMA","Por ello, de conformidad en lo pertinente con lo dictaminado por  el señor Procurador General de la Nación interino, el Tribunal resuel­ ve: I) Rechazar el recurso de apelación ordinario interpuesto contra el auto apelado en cuanto declaró procedente la extradición de Ser­ gio Radiuk a la República ",elado en cuanto declaró procedente la extradición de Ser­ gio Radiuk a la República Federativa del Brasil para ser juzgado por  el delito de homicidio y II) revocar el punto II de la parte dispositiva
345_p783,otro->competencia,,,,si,"esuelve: I. Declarar que la presente causa corresponde 345 788 FALLOS DE LA CORTE SUPREMA a la competencia originaria de esta Corte, prevista en el artículo 117","Por ello, de conformidad con lo dictaminado por la señora Procura­ dora Fiscal, se resuelve: I. Declarar que la presente causa corresponde a la competencia originaria de esta Corte, prevista en el artículo 117  de la Constitución Nacional. II. Correr traslado de la demanda inter­ puesta contra la Pr","tución Nacional. II. Correr traslado de la demanda inter­ puesta contra la Provincia de La Pampa, la que se sustanciará por la  vía del proceso ordinario, por el plazo de sesenta días (artículos 338 y"
347_p1259,,0->1,,,si," el Instituto Nacional de Servicios Sociales para Jubila­ dos y Pensionados, se declara procedente el recurso extraordinario 347 1274 FALLOS DE LA CORTE SUPREMA","Por ello, de conformidad con lo dictaminado, se desestima la queja  deducida por el Instituto Nacional de Servicios Sociales para Jubila­ dos y Pensionados, se declara procedente el recurso extraordinario interpuesto por el Sindicato Unido de Trabajadores y Empleados del  PAMI (SUTEPA) y se deja sin","to por el Sindicato Unido de Trabajadores y Empleados del  PAMI (SUTEPA) y se deja sin efecto la sentencia apelada, con el alcan­ ce indicado, con costas (art. 68 del Código Procesal Civil y Comercial"
347_p474,,0->1,,,si,"o de la Nación, se declara procedente la queja, formal­ mente admisible el recurso extraordinario, se deja sin efecto la sen­ 347 490 FALLOS DE LA CORTE SUPREMA","Por ello, habiendo tomado intervención el señor Defensor Ge­ neral Adjunto de la Nación, se declara procedente la queja, formal­ mente admisible el recurso extraordinario, se deja sin efecto la sen­ tencia apelada y, en uso de la facultad prevista en el art. 16 de la ley  48, se mantiene la guarda d","elada y, en uso de la facultad prevista en el art. 16 de la ley  48, se mantiene la guarda de los infantes a favor del matrimonio  G. A. V. - H. E. de M., sin perjuicio de que en la instancia de grado"
347_p684,,,,nan->procedente,si,"rt. 68 del Código  Procesal Civil y Comercial de la Nación). Vuelvan los autos al tribu­ nal de origen a fin de que, por medio de quien corresponda, proceda 687","Por ello, resultando inoficioso que dictamine la Procuración Ge­ neral de la Nación, se declara procedente el recurso extraordinario y  se deja sin efecto la sentencia apelada. Con costas (art. 68 del Código  Procesal Civil y Comercial de la Nación). Vuelvan los autos al tribu­ nal de origen a fin d"," Civil y Comercial de la Nación). Vuelvan los autos al tribu­ nal de origen a fin de que, por medio de quien corresponda, proceda a dictar un nuevo fallo con arreglo a lo expresado. Agréguese la queja"
348_p1352,,0->1,,,si,admisible el recurso extraordinario y se deja sin efec­ to todo lo actuado con posterioridad a la notificación de la sentencia 1357 DE JUSTICIA DE LA NACIÓN 348,"Por ello, y de conformidad con lo dictaminado, se hace lugar a la  queja, se declara admisible el recurso extraordinario y se deja sin efec­ to todo lo actuado con posterioridad a la notificación de la sentencia que denegó el recurso de inaplicabilidad de ley respecto del recurren­ te. Agréguese la ", el recurso de inaplicabilidad de ley respecto del recurren­ te. Agréguese la queja al principal y vuelvan los autos al tribunal de  origen a fin de que se proceda conforme lo decidido en la presente.
348_p1576,otro->competencia,,,,si, se resuelve: Declarar que la presente causa corresponde 1585 DE JUSTICIA DE LA NACIÓN 348 a la competencia originaria del Tribunal. Notifíquese y comuníquese a,"Por ello, de conformidad con lo dictaminado por la señora Procura­ dora Fiscal, se resuelve: Declarar que la presente causa corresponde a la competencia originaria del Tribunal. Notifíquese y comuníquese a  la Procuración General de la Nación."," por la señora Procura­ dora Fiscal, se resuelve: Declarar que la presente causa corresponde a la competencia originaria del Tribunal. Notifíquese y comuníquese a  la Procuración General de la Nación."
348_p1675,otro->competencia,,,,si,larar que la presente causa es ajena a la competencia 348 1682 FALLOS DE LA CORTE SUPREMA originaria de la Corte Suprema de Justicia de la Nación. Notifíquese y,"Por ello, habiendo dictaminado la señora Procuradora Fiscal, se  resuelve: Declarar que la presente causa es ajena a la competencia originaria de la Corte Suprema de Justicia de la Nación. Notifíquese y  comuníquese a la Procuración General de la Nación.","iscal, se  resuelve: Declarar que la presente causa es ajena a la competencia originaria de la Corte Suprema de Justicia de la Nación. Notifíquese y  comuníquese a la Procuración General de la Nación."
348_p355,,0->1,,,si,ra procedente el recurso extraordinario y se revoca la sen­ 371 DE JUSTICIA DE LA NACIÓN 348 tencia apelada. Con costas. Agréguese la presentación directa a los,"Por ello, oída la señora Procuradora Fiscal, se hace lugar a la que­ ja, se declara procedente el recurso extraordinario y se revoca la sen­ tencia apelada. Con costas. Agréguese la presentación directa a los  autos principales y reintégrese el depósito de fs. 70/71. Notifíquese y  devuélvanse los a","ales y reintégrese el depósito de fs. 70/71. Notifíquese y  devuélvanse los autos al tribunal de origen a fin de que, por quien co­ rresponda, se dicte un nuevo pronunciamiento con arreglo a lo expre­"
