caso,tomo,firma_nueva,lfr_viejo,lfr_nuevo,pista_nueva,tipo
329_p5950,329,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — RICARDO LUI,40266,40547,caratula_siguiente,MEJORA
329_p6064,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,44348,44390,caratula_siguiente,MEJORA
329_p6081,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,45049,45090,caratula_siguiente,MEJORA
330_p88,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — ENRIQUE SANTIAGO PETRACC,3273,3491,caratula_siguiente,MEJORA
330_p170,330,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — CARM,6255,6287,caratula_siguiente,MEJORA
330_p178,330,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN,6541,6630,caratula_siguiente,MEJORA
330_p240,330,RICARDO LUIS LORENZETTI — ENRIQUE SANTIAGO PETRACCHI — CARLOS S. FAYT — JUAN CAR,8765,8817,caratula_siguiente,MEJORA
330_p358,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE,13396,13495,caratula_siguiente,MEJORA
330_p399,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO (en disidencia parcial) — ,15126,16655,caratula_siguiente,MEJORA
330_p610,330,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN,23274,23314,caratula_siguiente,MEJORA
330_p618,330,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN,23314,23361,caratula_siguiente,MEJORA
330_p1325,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — ENRIQUE SANTIAGO PETRACC,283,334,caratula_siguiente,MEJORA
330_p1632,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — ENRIQUE SANTIAGO PETRACC,11666,11699,caratula_siguiente,MEJORA
330_p1947,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE,23830,23895,caratula_siguiente,MEJORA
330_p2040,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE,27461,27596,caratula_siguiente,MEJORA
330_p2192,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE,33265,33647,caratula_siguiente,MEJORA
330_p2286,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA — E.,36970,37345,caratula_siguiente,MEJORA
330_p2414,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CA,41700,41726,caratula_siguiente,MEJORA
330_p2452,330,RICARDO LUIS LORENZETTI (en disidencia parcial) — ELENA I. HIGHTON DE NOLASCO — ,43377,43622,sumario_siguiente,MEJORA
330_p2739,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — ENRIQUE SANTIAGO PETRACC,54297,54427,caratula_siguiente,MEJORA
330_p2746,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE,54454,54502,caratula_siguiente,MEJORA
