caso,tomo,firma_nueva,lfr_viejo,lfr_nuevo,pista_nueva,tipo
343_p1684,343,Carlos Fernando Rosenkrantz — Elena I. Highton de Nolasco — Juan Carlos Maqueda ,8972,9076,caratula_siguiente,MEJORA
343_p1758,343,Carlos Fernando Rosenkrantz — Horacio Rosatti.,11765,11765,firma_actual,MEJORA
344_p575,344,Juan Carlos Maqueda.,23477,23477,caratula_siguiente,MEJORA
344_p645,344,Carlos Fernando Rosenkrantz – Elena I. Highton de Nolasco – Juan Carlos Maqueda ,25164,25467,caratula_siguiente,MEJORA
344_p757,344,Elena I. Highton de Nolasco.,29441,29441,caratula_siguiente,MEJORA
344_p1920,344,Carlos Fernando Rosenkrantz – Elena I. Highton de Nolasco – Juan Carlos Maqueda ,25788,26115,caratula_siguiente,MEJORA
344_p2011,344,Elena I. Highton de Nolasco – Juan Carlos Maqueda – Ricardo Luis Lorenzetti.,29399,29501,caratula_siguiente,MEJORA
344_p2109,344,Carlos Fernando Rosenkrantz – Elena I. Highton de Nolasco – Juan Carlos Maqueda ,33219,33259,caratula_siguiente,MEJORA
344_p2665,344,Horacio Rosatti – Carlos Fernando Rosenkrantz – Juan Carlos Maqueda – Elena I. H,1527,1590,caratula_siguiente,MEJORA
344_p3543,344,Horacio Rosatti – Carlos Fernando Rosenkrantz – Juan Carlos Maqueda – Ricardo Lu,36074,36208,caratula_siguiente,MEJORA
344_p3720,344,Horacio Rosatti - Carlos Fernando Rosenkrantz – Juan Carlos Maqueda – Ricardo Lu,42872,42922,caratula_siguiente,MEJORA
344_p3725,344,Horacio Rosatti - Carlos Fernando Rosenkrantz – Juan Carlos Maqueda – Ricardo Lu,43254,43550,caratula_siguiente,MEJORA
345_p1370,345,Horacio Rosatti — Juan Carlos Maqueda — Ricardo Luis Lorenzetti.,18814,18933,caratula_siguiente,MEJORA
346_p314,346,Horacio Rosatti — Carlos Fernando Rosenkrantz (en disidencia)— Juan Carlos Maque,12175,12295,caratula_siguiente,MEJORA
346_p491,346,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu,19018,19112,caratula_siguiente,MEJORA
346_p1180,346,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu,16073,16500,caratula_siguiente,MEJORA
346_p1257,346,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu,19016,19424,caratula_siguiente,MEJORA
346_p1419,346,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu,25275,25370,caratula_siguiente,MEJORA
347_p360,347,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu,14136,14176,caratula_siguiente,MEJORA
347_p414,347,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda.,16340,16408,caratula_siguiente,MEJORA
347_p1353,347,Carlos Fernando Rosenkrantz.,6910,6910,firma_actual,MEJORA
347_p1593,347,Horacio Rosatti — Carlos Fernando Rosenkrantz (según su voto)— Juan Carlos Maque,16707,17182,caratula_siguiente,MEJORA
347_p1858,347,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu,26716,26869,caratula_siguiente,MEJORA
347_p2160,347,Horacio Rosatti.,38989,38989,caratula_siguiente,MEJORA
347_p2314,347,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu,44453,44571,caratula_siguiente,MEJORA
348_p48,348,Horacio Rosatti — Carlos Fernando Rosenkrantz — Ricardo Luis Lorenzetti.,1975,2047,caratula_siguiente,MEJORA
348_p56,348,Horacio Rosatti — Carlos Fernando Rosenkrantz — Ricardo Luis Lorenzetti.,2190,2222,caratula_siguiente,MEJORA
348_p325,348,Horacio Rosatti — Carlos Fernando Rosenkrantz — Ricardo Luis Lorenzetti.,12448,12480,caratula_siguiente,MEJORA
348_p494,348,Horacio Rosatti — Carlos Fernando Rosenkrantz — Ricardo Luis Lorenzetti.,19752,19865,caratula_siguiente,MEJORA
348_p728,348,Horacio Rosatti — Carlos Fernando Rosenkrantz (en disidencia)— Ricardo Luis Lore,28750,28750,caratula_siguiente,MEJORA
348_p1149,348,Horacio Rosatti — Carlos Fernando Rosenkrantz — Ricardo Luis Lorenzetti.,44268,44380,caratula_siguiente,MEJORA
348_p1485,348,Horacio Rosatti — Carlos Fernando Rosenkrantz — Ricardo Luis Lorenzetti.,57610,57721,caratula_siguiente,MEJORA
348_p1569,348,Horacio Rosatti — Carlos Fernando Rosenkrantz — Ricardo Luis Lorenzetti.,60786,60899,caratula_siguiente,MEJORA
