historia,hoja,filas,columnas
Subtipos de presentantes,presentantes/civil,14,PRESENTANTE (casos con fallos 2025.sav) (grupo) 1-alias | REC(casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:16]-alias
Subtipos de presentantes,presentantes/empres,20,PRESENTANTE (casos con fallos 2025.sav) (grupo) 1-alias | REC(casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:16]-alias
Recursos según cumplimiento de requisitos,causa inad,83,DESC TIPO RECURSO OKfromFALLOS (grupo) 3-value | DESC TIPO RECURSO OKfromFALLOS (grupo) 3-alias | Formulasfinal (grupo)-value | Formulasfinal (grupo)-alias | REC(casos con fallos 2025.sav)-alias
Recursos según cumplimiento de requisitos,causa inad (3),22,Formulasfinal (grupo) 1-alias | REC(casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:6]-alias
Recursos según cumplimiento de requisitos,tipo des causas,16,DESC TIPO RECURSO OKfromFALLOS (grupo) 3-value | DESC TIPO RECURSO OKfromFALLOS (grupo) 3-alias | REC(casos con fallos 2025.sav)-alias | Admisibilidad-value | Admisibilidad-alias | REC(DESC TIPO RECURSO OKfromFALLOS)-alias
% de Casos resueltos según vía de acceso,VIA DE ACCESO (2),5,TIPO DE CASO-alias | REC(casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:2]-alias
% de Casos resueltos según vía de acceso,VIA DE ACCESO (7),4,TIPOS DE CASO-alias | REC(casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:2]-alias
Recursos admitidos según materia y tipo de recurso,admitidos (2),17,TIPO DE CASO-alias | DESC MATERIA SEC OK (casos con fallos 2025.sav)-value | DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-value | REC(casos con fallos 2025.sav)-alias
Recursos admitidos según materia y tipo de recurso,admitidos,30,Desc Tipo Caso-value | Desc Tipo Caso-alias | REC(casos con fallos 2025.sav)-alias | DESC MATERIA SEC OK (casos con fallos 2025.sav)-value | DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias
Demandas originarias y otros por Materia y Tipo,otras vias x mate,36,DESC TIPO RECURSO OKfromFALLOS (grupo) 2-value | DESC TIPO RECURSO OKfromFALLOS (grupo) 2-alias | REC(casos con fallos 2025.sav)-alias | DESC MATERIA SEC OK (casos con fallos 2025.sav)-value | DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias
Demandas originarias y otros por Materia y Tipo,otras vias x mate (2),21,TIPO DE CASO-alias | DESC MATERIA SEC OK (casos con fallos 2025.sav)-value | DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-value | REC(casos con fallos 2025.sav)-alias
Relación entre el  sentido de la decisión y los tipos de casos,recu tratados y sentido ReC (3),40,TIPOS DE CASO-value | TIPOS DE CASO-alias | VIA DE ACCESO-value | VIA DE ACCESO-alias | REC(casos con fallos 2025.sav)-alias | SENTIDO RESOLUCION (casos con fallos 2025.sav)-value | SENTIDO RESOLUCION (casos con fallos 2025.sav)-alias
Relación entre el  sentido de la decisión y los tipos de casos,ddm tratadas y sentido ReC (4),41,TIPOS DE CASO-value | TIPOS DE CASO-alias | VIA DE ACCESO-value | VIA DE ACCESO-alias | REC(casos con fallos 2025.sav)-alias | SENTIDO RESOLUCION (casos con fallos 2025.sav)-value | SENTIDO RESOLUCION (casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:2]-alias
Resultados de la pretensión recursiva en los casos admitidos,casos tratados y sentido ReC (2),12,TIPOS DE CASO-value | TIPOS DE CASO-alias | VIA DE ACCESO-value | VIA DE ACCESO-alias | REC(casos con fallos 2025.sav)-alias | VALORACION -value | VALORACION -alias
Resultados de la pretensión recursiva en los casos admitidos,casos tratados y sentido ReC (3),2,VALORACION -alias | REC(casos con fallos 2025.sav)-alias
Casos resueltos con remisión  por tipo y materia,remisiones x materia (2),29,DESC MATERIA SEC OK (casos con fallos 2025.sav)-value | DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias | Tipoderemisión-alias | REC(casos con fallos 2025.sav)-value | REC(casos con fallos 2025.sav)-alias
Casos resueltos con remisión  por tipo y materia,remisiones (3),9,Remisión-value | Remisión-alias | VIA DE ACCESO-value | VIA DE ACCESO-alias | REC(casos con fallos 2025.sav)-alias
Casos resueltos con remisión  por tipo y materia,remisiones (2),30,Desc Tipo Caso-value | Desc Tipo Caso-alias | VIA DE ACCESO-value | VIA DE ACCESO-alias | REC(casos con fallos 2025.sav)-alias | Remisión1-value | Remisión1-alias
Casos resueltos  sin remisión según materia,admitidos sin precedentes,28,Desc Tipo Caso-value | Desc Tipo Caso-alias | REC(casos con fallos 2025.sav)-alias | DESC MATERIA SEC OK (casos con fallos 2025.sav)-value | DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias | REC(DESC MATERIA SEC OK (casos con fallos 2025.sav))-alias
Casos resueltos  sin remisión según materia,admitidos sin precedentes sustantivos,34,TIPOS DE CASO-value | TIPOS DE CASO-alias | REC(casos con fallos 2025.sav)-alias | DESC MATERIA SEC OK (casos con fallos 2025.sav)-value | DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:2]-alias
Distribución de los Firmantes en los Fallos,Firmantes (3),3,Firmantes (casos con fallos 2025.sav) (grupo)-value | Firmantes (casos con fallos 2025.sav) (grupo)-alias | REC(casos con fallos 2025.sav)-alias
Distribución de los Firmantes en los Fallos,COMBINATORIA VOTOS,5,Firmantes (casos con fallos 2025.sav) (grupo) 2-value | Firmantes (casos con fallos 2025.sav) (grupo) 2-alias | REC(casos con fallos 2025.sav)-alias
Distribución de los Firmantes en los Fallos,Firmantes (5),2,Firmantes (casos con fallos 2025.sav) (grupo)-alias | REC(casos con fallos 2025.sav)-value | REC(casos con fallos 2025.sav)-alias
