Firmantes (casos con fallos 2025.sav) (grupo)-alias,REC(casos con fallos 2025.sav)-value,REC(casos con fallos 2025.sav)-alias
CONFORMACIÓN MINISTROS,0.9950612629594722,0.9950612629594722
CONFORMACIÓN MINISTROS Y CONJUECES,0.004938737040527804,0.004938737040527804
