subtabla,outcome,n,pct,anio,abstracto,competencia,confirma,desestima,desistimiento,hace_lugar,inadmisible_280,mal_concedido,nulidad,originaria,otro,procedente,revoca,sin_dispositivo,total,abstracto_pct,competencia_pct,confirma_pct,desestima_pct,desistimiento_pct,hace_lugar_pct,inadmisible_280_pct,mal_concedido_pct,nulidad_pct,originaria_pct,otro_pct,procedente_pct,revoca_pct,sin_dispositivo_pct
global,otro,1954.0,35.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,hace_lugar,799.0,14.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,desestima,786.0,14.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,procedente,511.0,9.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,competencia,492.0,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,sin_dispositivo,294.0,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,confirma,208.0,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,revoca,183.0,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,originaria,111.0,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,abstracto,79.0,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,nulidad,67.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,mal_concedido,40.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,inadmisible_280,31.0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,desistimiento,11.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
por_anio_pct,,,,2009,,,,,,,,,,,,,,,296.0,0.68,10.47,11.15,7.43,0.0,12.84,0.68,0.34,1.01,4.39,35.47,9.46,5.07,1.01
por_anio_pct,,,,2010,,,,,,,,,,,,,,,218.0,0.92,8.72,9.17,10.55,0.0,16.51,0.46,0.0,0.46,1.38,31.19,13.76,5.05,1.83
por_anio_pct,,,,2011,,,,,,,,,,,,,,,163.0,1.23,2.45,7.98,7.98,0.0,14.11,0.61,2.45,1.23,1.23,33.13,14.72,9.82,3.07
por_anio_pct,,,,2013,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
por_anio_pct,,,,2014,,,,,,,,,,,,,,,112.0,0.89,0.89,10.71,6.25,0.0,16.96,0.89,0.0,0.0,2.68,34.82,9.82,10.71,5.36
por_anio_pct,,,,2015,,,,,,,,,,,,,,,131.0,0.0,2.29,2.29,12.21,0.0,12.98,3.05,0.76,2.29,0.0,42.75,12.98,5.34,3.05
por_anio_pct,,,,2016,,,,,,,,,,,,,,,295.0,3.39,15.25,2.03,23.39,1.02,11.53,0.68,0.34,1.02,0.0,30.85,5.76,2.03,2.71
por_anio_pct,,,,2017,,,,,,,,,,,,,,,251.0,0.4,26.29,1.2,12.35,0.4,11.16,0.0,1.2,1.59,1.59,33.86,7.17,1.59,1.2
por_anio_pct,,,,2018,,,,,,,,,,,,,,,218.0,2.75,7.34,1.83,16.97,0.92,20.18,0.0,0.0,1.83,0.46,34.86,9.63,1.83,1.38
por_anio_pct,,,,2019,,,,,,,,,,,,,,,188.0,0.53,2.13,2.13,21.81,0.53,24.47,0.0,0.0,1.06,0.53,35.64,8.51,1.6,1.06
por_anio_pct,,,,2020,,,,,,,,,,,,,,,214.0,1.87,1.87,1.4,14.02,0.0,21.96,1.87,0.93,0.93,0.93,43.93,8.41,0.47,1.4
por_anio_pct,,,,2021,,,,,,,,,,,,,,,280.0,2.14,2.86,1.79,16.07,0.71,23.21,0.71,0.36,1.43,2.86,35.71,6.43,3.57,2.14
por_anio_pct,,,,2022,,,,,,,,,,,,,,,146.0,4.11,0.0,3.42,17.12,0.0,23.97,1.37,0.0,3.42,4.11,29.45,7.53,2.74,2.74
por_anio_pct,,,,2023,,,,,,,,,,,,,,,149.0,0.67,4.03,4.03,14.77,0.0,19.46,0.0,0.67,1.34,5.37,32.21,12.08,3.36,2.01
por_anio_pct,,,,2024,,,,,,,,,,,,,,,197.0,1.52,1.02,2.03,17.77,0.0,27.92,1.52,1.52,1.02,2.54,25.89,13.2,3.05,1.02
por_anio_pct,,,,2025,,,,,,,,,,,,,,,192.0,1.04,3.12,5.21,15.62,0.0,25.0,2.6,1.56,5.73,1.56,28.65,4.17,2.08,3.65
por_anio_pct,,,,2026,,,,,,,,,,,,,,,33.0,3.03,9.09,3.03,9.09,0.0,15.15,3.03,0.0,6.06,0.0,39.39,12.12,0.0,0.0
