ministro,unanimidad,voto_conjunto,voto_propio,disidencia_propia,total_firmas
ROSATTI,12951,13345,67,0,26363
LORENZETTI,12967,513,12899,0,26379
ROSENKRANTZ,12976,12893,517,1,26387
GARCIA-MANSILLA,151,54,3,0,208
