caso_id_canonico,tomo,n_lineas_bloque,apertura_rel,firma_lines_count,firma_end,pe_idx_baseline,pe_idx_d_validado,disp_cambio,posthoc_rejected,voting_pattern,n_jueces_firma,baseline_voting_pattern,baseline_n_votos_svoto,baseline_n_disidencias,n_votos_actual,n_disid_actual,n_votos_ampliado,n_nuevos_por_ampliado,n_ya_detectados_post_firma,n_votos_narrow_pre_firma,first_voto_narrow
330_p1545,330,199,129,5,174,165,165,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,1,0,1,0,179
343_p702,343,344,314,2,331,327,327,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
343_p28,343,166,24,3,118,114,114,False,False,segun_su_voto,4,segun_su_voto,1,0,1,0,1,0,1,0,120
329_p19,329,35,6,2,22,19,19,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
345_p58,345,87,17,2,76,59,59,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
333_p1179,333,455,290,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
341_p915,341,170,105,1,125,115,115,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
329_p906,329,115,74,6,90,84,84,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,95
329_p5424,329,553,341,5,532,514,514,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,531
334_p1897,334,224,145,2,213,206,206,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
332_p2868,332,155,85,2,148,142,142,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
331_p1024,331,146,29,2,140,120,120,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p2796,329,123,106,2,116,109,109,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
331_p1171,331,200,24,3,192,185,185,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
344_p709,344,43,14,2,33,29,29,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p4234,329,265,240,2,258,248,248,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
341_p717,341,146,135,2,145,138,138,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
329_p3373,329,325,,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
343_p128,343,77,28,2,67,59,59,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
329_p5944,329,162,124,2,139,132,132,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p6050,329,85,69,2,84,72,72,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
347_p1820,347,258,81,2,247,236,236,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
341_p129,341,726,562,1,718,713,713,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
343_p1434,343,402,381,2,394,389,389,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
330_p1722,330,434,391,6,415,406,406,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,420
331_p2745,331,533,319,8,514,489,489,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
342_p2198,342,1204,183,3,1103,1091,1091,False,False,disidencia,4,disidencia,0,1,0,1,1,0,1,0,1104
345_p688,345,237,211,2,232,225,225,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
339_p1219,339,79,27,1,63,61,61,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
330_p4733,330,87,21,3,82,74,74,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
343_p681,343,813,468,6,494,477,477,False,False,mixed,5,mixed,1,1,1,1,1,0,1,1,493
