caso,zona,wc_pre,wc_post,delta_wc
330_p3426,dispositivo,162,58,-104
330_p3432,firma,138,81,-57
330_p3432,sumario,602,656,54
330_p3432,header_pagina,85,84,-1
330_p3432,epilogo,399,264,-135
330_p3432,dispositivo,176,142,-34
330_p345,firma,116,41,-75
330_p345,header_pagina,92,91,-1
330_p345,epilogo,137,48,-89
330_p345,sumario,522,588,66
330_p345,dispositivo,95,59,-36
330_p3483,firma,135,28,-107
330_p3483,cuerpo,1051,1024,-27
330_p3483,sumario,996,1082,86
330_p3483,voto_separado,9,4,-5
330_p3483,epilogo,44,0,-44
330_p3483,dispositivo,1816,1727,-89
330_p3502,firma,40,34,-6
330_p3502,sumario,300,277,-23
330_p3502,residuo_caso_anterior,6,0,-6
330_p3502,epilogo,42,99,57
330_p3502,dispositivo,130,151,21
330_p3509,firma,58,45,-13
330_p3509,cuerpo,121,93,-28
330_p3509,sumario,314,318,4
330_p3509,residuo_caso_anterior,5,31,26
330_p3509,voto_separado,9,5,-4
330_p3509,epilogo,108,66,-42
330_p3509,dispositivo,188,100,-88
330_p3513,firma,51,36,-15
330_p3513,header_pagina,43,42,-1
330_p3513,epilogo,129,105,-24
330_p3513,sumario,323,338,15
330_p3526,firma,71,47,-24
330_p3526,cuerpo,120,101,-19
330_p3526,sumario,690,714,24
330_p3526,residuo_caso_anterior,2,69,67
330_p3526,voto_separado,9,5,-4
330_p3526,epilogo,670,669,-1
330_p3526,dispositivo,237,225,-12
330_p3557,firma,103,94,-9
330_p3557,sumario,336,345,9
330_p3557,header_pagina,57,56,-1
330_p3557,epilogo,97,23,-74
330_p3582,firma,62,58,-4
330_p3582,sumario,624,634,10
330_p3582,residuo_caso_anterior,0,160,160
330_p3582,epilogo,101,29,-72
330_p3582,dispositivo,88,83,-5
330_p3589,firma,85,43,-42
330_p3589,sumario,260,247,-13
330_p3589,residuo_caso_anterior,8,0,-8
330_p3589,epilogo,57,137,80
330_p3589,dispositivo,94,89,-5
330_p3609,firma,129,39,-90
330_p3609,sumario,675,832,157
330_p3609,cuerpo,3819,4612,793
330_p3609,epilogo,793,0,-793
330_p3609,residuo_caso_anterior,54,10,-44
330_p3609,dispositivo,142,104,-38
330_p3652,firma,57,34,-23
330_p3652,sumario,446,469,23
330_p3652,header_pagina,36,35,-1
330_p3680,firma,38,43,5
330_p3680,sumario,330,345,15
330_p3680,epilogo,78,37,-41
330_p3680,residuo_caso_anterior,7,19,12
330_p3680,dispositivo,571,479,-92
330_p3685,firma,150,53,-97
330_p3685,sumario,1987,2046,59
330_p3685,residuo_caso_anterior,7,126,119
330_p3685,epilogo,90,187,97
330_p3714,firma,60,28,-32
330_p3714,sumario,558,590,32
330_p3714,residuo_caso_anterior,11,40,29
330_p3723,firma,33,46,13
330_p3723,sumario,166,170,4
330_p3723,cuerpo,243,95,-148
330_p3723,epilogo,52,58,6
330_p3723,residuo_caso_anterior,3,84,81
330_p3723,dispositivo,150,86,-64
330_p3725,firma,296,63,-233
330_p3725,cuerpo,8417,8275,-142
330_p3725,sumario,1573,1784,211
330_p3725,residuo_caso_anterior,17,148,131
330_p3725,epilogo,48,91,43
330_p3725,dispositivo,274,260,-14
330_p380,firma,112,77,-35
330_p380,cuerpo,691,716,25
330_p380,sumario,559,590,31
330_p380,residuo_caso_anterior,9,0,-9
330_p380,voto_separado,13,26,13
330_p380,epilogo,68,102,34
330_p3801,firma,225,76,-149
330_p3801,sumario,1487,1650,163
330_p3801,residuo_caso_anterior,5,92,87
330_p3801,epilogo,2153,2130,-23
330_p3801,dispositivo,2728,2785,57
330_p3848,firma,61,41,-20
330_p3848,sumario,474,460,-14
330_p3848,residuo_caso_anterior,0,84,84
330_p3848,epilogo,32,87,55
330_p3848,dispositivo,77,116,39
330_p3853,firma,177,60,-117
330_p3853,sumario,2237,2346,109
330_p3853,header_pagina,246,245,-1
330_p3853,epilogo,460,404,-56
330_p3853,dispositivo,244,207,-37
330_p3908,firma,1669,1557,-112
330_p3908,cuerpo,14359,14360,1
330_p3908,sumario,2333,2485,152
330_p3908,residuo_caso_anterior,9,0,-9
330_p3908,voto_separado,27,32,5
330_p3908,dispositivo,164,263,99
330_p399,firma,221,156,-65
330_p399,header_pagina,316,315,-1
330_p399,cuerpo,9107,8969,-138
330_p399,epilogo,91,56,-35
330_p399,sumario,731,785,54
330_p399,dispositivo,350,283,-67
330_p4015,firma,65,50,-15
330_p4015,sumario,372,390,18
330_p4015,residuo_caso_anterior,10,54,44
330_p4015,epilogo,43,133,90
330_p4015,dispositivo,285,333,48
330_p4134,firma,56,49,-7
330_p4134,sumario,695,719,24
330_p4134,residuo_caso_anterior,14,97,83
330_p4134,epilogo,0,72,72
330_p4134,dispositivo,376,367,-9
330_p4144,firma,191,94,-97
330_p4144,sumario,1345,1442,97
330_p4144,residuo_caso_anterior,45,54,9
330_p4182,firma,137,35,-102
330_p4182,sumario,578,685,107
330_p4182,residuo_caso_anterior,9,14,5
330_p4182,epilogo,64,77,13
330_p4182,dispositivo,45,127,82
330_p4199,firma,57,56,-1
330_p4199,sumario,532,547,15
330_p4199,residuo_caso_anterior,7,67,60
330_p4199,epilogo,168,246,78
330_p4199,dispositivo,170,174,4
330_p4211,firma,88,48,-40
330_p4211,voto_separado,26,16,-10
330_p4211,sumario,371,422,51
330_p4211,cuerpo,683,658,-25
330_p4211,epilogo,556,497,-59
330_p4211,residuo_caso_anterior,4,51,47
330_p4211,dispositivo,30,20,-10
330_p4252,firma,49,28,-21
330_p4252,sumario,257,278,21
330_p4252,residuo_caso_anterior,7,48,41
330_p4263,firma,34675,1117,-33558
330_p4263,cuerpo,67,77,10
330_p4263,sumario,44213,75190,30977
330_p4263,residuo_caso_anterior,4,0,-4
330_p4263,header_pagina,159,191,32
330_p4263,epilogo,9548,16309,6761
330_p4263,apertura,205,210,5
330_p4263,dispositivo,5024,5122,98
330_p4313,firma,177,28,-149
330_p4313,sumario,440,1362,922
330_p4313,header_pagina,63,68,5
330_p4313,epilogo,789,16,-773
330_p4313,residuo_caso_anterior,3,4,1
330_p4358,firma,44,39,-5
330_p4358,cuerpo,577,639,62
330_p4358,sumario,162,184,22
330_p4358,residuo_caso_anterior,5,0,-5
330_p4358,epilogo,29,59,30
330_p4358,apertura,5,10,5
330_p4358,dispositivo,140,119,-21
330_p4389,firma,79,42,-37
330_p4389,sumario,212,236,24
330_p4389,cuerpo,1447,1480,33
330_p4389,epilogo,0,40,40
330_p4389,residuo_caso_anterior,3,0,-3
330_p4389,dispositivo,737,768,31
330_p4416,firma,109,52,-57
330_p4416,sumario,476,527,51
330_p4416,epilogo,570,525,-45
330_p4416,dispositivo,114,97,-17
330_p4422,firma,60,57,-3
330_p4422,sumario,234,243,9
330_p4422,residuo_caso_anterior,12,0,-12
330_p4422,epilogo,59,116,57
330_p4422,dispositivo,46,63,17
330_p444,firma,69,55,-14
330_p444,sumario,300,286,-14
330_p444,residuo_caso_anterior,15,138,123
330_p444,epilogo,47,133,86
330_p444,dispositivo,139,206,67
330_p4465,firma,79,62,-17
330_p4465,sumario,282,313,31
330_p4465,residuo_caso_anterior,4,115,111
330_p4465,epilogo,51,53,2
330_p4465,dispositivo,189,201,12
330_p4476,firma,59,46,-13
330_p4476,sumario,450,463,13
330_p4483,firma,71,55,-16
330_p4483,sumario,249,265,16
330_p4489,firma,109,39,-70
330_p4489,sumario,727,797,70
330_p4489,epilogo,46,0,-46
330_p4511,firma,80,47,-33
330_p4511,cuerpo,2590,2613,23
330_p4511,sumario,580,622,42
330_p4511,residuo_caso_anterior,6,0,-6
330_p4511,voto_separado,5,9,4
330_p4511,epilogo,52,43,-9
330_p4511,dispositivo,100,115,15
330_p452,firma,50,33,-17
330_p452,sumario,922,939,17
330_p452,header_pagina,141,140,-1
330_p452,epilogo,1344,1315,-29
330_p4530,firma,59,22,-37
330_p4530,voto_separado,4,0,-4
330_p4530,sumario,230,239,9
330_p4530,cuerpo,94,55,-39
330_p4530,epilogo,31,0,-31
330_p4530,residuo_caso_anterior,13,75,62
330_p4530,dispositivo,70,38,-32
330_p4549,firma,50,58,8
330_p4549,sumario,438,399,-39
330_p4549,cuerpo,189,187,-2
330_p4549,epilogo,0,71,71
330_p4549,residuo_caso_anterior,2,0,-2
330_p4549,dispositivo,161,167,6
330_p4592,firma,82,44,-38
330_p4592,sumario,816,863,47
330_p4592,epilogo,2165,2123,-42
330_p4592,residuo_caso_anterior,9,31,22
330_p4592,dispositivo,290,217,-73
330_p4606,firma,55,46,-9
330_p4606,sumario,327,339,12
330_p4606,residuo_caso_anterior,19,73,54
330_p4606,epilogo,41,112,71
330_p4615,firma,81,31,-50
330_p4615,sumario,1301,1351,50
330_p4615,residuo_caso_anterior,10,36,26
330_p4633,firma,132,70,-62
330_p4633,cuerpo,2372,2272,-100
330_p4633,sumario,927,986,59
330_p4633,header_pagina,99,98,-1
330_p4633,epilogo,42,0,-42
330_p4633,dispositivo,154,131,-23
330_p4706,firma,73,32,-41
330_p4706,sumario,617,655,38
330_p4706,residuo_caso_anterior,10,81,71
330_p4706,epilogo,101,25,-76
330_p4706,dispositivo,113,59,-54
330_p4735,firma,35,49,14
330_p4735,cuerpo,1220,1079,-141
330_p4735,sumario,712,715,3
330_p4735,residuo_caso_anterior,0,153,153
330_p4735,epilogo,87,39,-48
330_p4735,dispositivo,114,130,16
330_p4749,firma,889,51,-838
330_p4749,sumario,1649,2487,838
330_p4749,residuo_caso_anterior,0,141,141
330_p4749,epilogo,36,87,51
330_p4749,dispositivo,3544,3537,-7
330_p4770,firma,125,38,-87
330_p4770,cuerpo,1007,992,-15
330_p4770,sumario,825,912,87
330_p4770,residuo_caso_anterior,7,13,6
330_p4770,epilogo,31,43,12
330_p4770,dispositivo,144,132,-12
330_p479,firma,49,60,11
330_p479,voto_separado,15,0,-15
330_p479,sumario,334,325,-9
330_p479,cuerpo,93,69,-24
330_p479,epilogo,46,25,-21
330_p479,residuo_caso_anterior,16,0,-16
330_p479,dispositivo,97,52,-45
330_p4875,firma,28,20,-8
330_p4875,sumario,218,226,8
330_p4875,header_pagina,29,28,-1
330_p4875,epilogo,75,45,-30
330_p4885,firma,74,0,-74
330_p4885,voto_separado,9,0,-9
330_p4885,sumario,278,313,35
330_p4885,cuerpo,86,59,-27
330_p4885,epilogo,53,0,-53
330_p4885,dispositivo,86,0,-86
330_p4936,firma,49,57,8
330_p4936,cuerpo,346,350,4
330_p4936,sumario,744,754,10
330_p4936,residuo_caso_anterior,13,0,-13
330_p4936,voto_separado,9,23,14
330_p4936,epilogo,74,63,-11
330_p4936,dispositivo,80,110,30
330_p4945,firma,195,51,-144
330_p4945,sumario,374,521,147
330_p4945,residuo_caso_anterior,3,23,20
330_p4945,epilogo,0,77,77
330_p4945,dispositivo,238,279,41
330_p496,firma,25,18,-7
330_p496,sumario,341,348,7
330_p496,residuo_caso_anterior,9,14,5
330_p4960,firma,90,64,-26
330_p4960,sumario,662,699,37
330_p4960,epilogo,585,535,-50
330_p4960,residuo_caso_anterior,122,23,-99
330_p4960,dispositivo,574,701,127
330_p4970,firma,97,77,-20
330_p4970,cuerpo,544,370,-174
330_p4970,sumario,1215,1249,34
330_p4970,residuo_caso_anterior,11,172,161
330_p4970,epilogo,78,0,-78
330_p4970,dispositivo,308,345,37
330_p5020,firma,103,42,-61
330_p5020,voto_separado,14,9,-5
330_p5020,sumario,479,518,39
330_p5020,cuerpo,939,916,-23
330_p5020,dispositivo,198,84,-114
330_p5032,firma,91,54,-37
330_p5032,cuerpo,1496,1492,-4
330_p5032,sumario,769,799,30
330_p5032,residuo_caso_anterior,7,30,23
330_p5032,voto_separado,9,5,-4
330_p5032,epilogo,778,720,-58
330_p5032,dispositivo,62,111,49
330_p5052,firma,140,81,-59
330_p5052,voto_separado,18,14,-4
330_p5052,header_pagina,85,84,-1
330_p5052,cuerpo,198,167,-31
330_p5052,epilogo,1215,1189,-26
330_p5052,sumario,712,746,34
330_p5052,dispositivo,264,190,-74
330_p5082,firma,38,48,10
330_p5082,cuerpo,1052,894,-158
330_p5082,sumario,336,346,10
330_p5082,residuo_caso_anterior,3,64,61
330_p5082,epilogo,79,40,-39
330_p5082,dispositivo,22,59,37
330_p5088,firma,81,30,-51
330_p5088,cuerpo,93,56,-37
330_p5088,sumario,441,489,48
330_p5088,residuo_caso_anterior,8,158,150
330_p5088,voto_separado,15,0,-15
330_p5088,epilogo,55,87,32
330_p5088,dispositivo,86,15,-71
330_p5111,firma,103,58,-45
330_p5111,sumario,1044,1100,56
330_p5111,residuo_caso_anterior,11,0,-11
330_p5111,dispositivo,180,196,16
330_p5131,firma,96,41,-55
330_p5131,sumario,340,395,55
330_p5131,residuo_caso_anterior,8,73,65
330_p5144,firma,95,37,-58
330_p5144,residuo_caso_anterior,0,71,71
330_p5144,sumario,790,821,31
330_p5144,dispositivo,116,41,-75
330_p5187,firma,67,56,-11
330_p5187,cuerpo,939,964,25
330_p5187,sumario,728,748,20
330_p5187,residuo_caso_anterior,3,0,-3
330_p5187,voto_separado,9,13,4
330_p5187,epilogo,95,169,74
330_p5187,dispositivo,115,129,14
330_p5212,firma,101,30,-71
330_p5212,sumario,353,429,76
330_p5212,residuo_caso_anterior,3,89,86
330_p5212,epilogo,36,86,50
330_p5212,dispositivo,2014,2072,58
330_p5272,firma,57,14,-43
330_p5272,voto_separado,5,0,-5
330_p5272,sumario,260,270,10
330_p5272,cuerpo,109,83,-26
330_p5272,epilogo,47,36,-11
330_p5272,residuo_caso_anterior,10,0,-10
330_p5272,dispositivo,79,66,-13
330_p5279,firma,81,83,2
330_p5279,cuerpo,3661,3671,10
330_p5279,sumario,368,410,42
330_p5279,residuo_caso_anterior,13,16,3
330_p5279,voto_separado,13,18,5
330_p5279,epilogo,19,60,41
330_p5279,dispositivo,99,109,10
330_p5306,firma,76,46,-30
330_p5306,sumario,741,771,30
330_p5306,epilogo,77,0,-77
330_p5306,residuo_caso_anterior,11,63,52
330_p5345,firma,93,99,6
330_p5345,sumario,892,918,26
330_p5345,residuo_caso_anterior,10,12,2
330_p5345,epilogo,7058,6821,-237
330_p5345,dispositivo,2145,2087,-58
330_p5404,firma,69,32,-37
330_p5404,sumario,580,611,31
330_p5404,cuerpo,5530,5395,-135
330_p5404,epilogo,2174,2169,-5
330_p5404,residuo_caso_anterior,12,187,175
330_p5404,dispositivo,148,110,-38
330_p5435,firma,1571,667,-904
330_p5435,header_pagina,182,183,1
330_p5435,cuerpo,4089,4112,23
330_p5435,epilogo,3490,3540,50
330_p5435,sumario,378,412,34
330_p5435,dispositivo,1090,1154,64
330_p563,firma,147,100,-47
330_p563,sumario,2207,2288,81
330_p563,residuo_caso_anterior,12,209,197
330_p563,dispositivo,3041,3078,37
330_p59,firma,52,43,-9
330_p59,cuerpo,94,64,-30
330_p59,sumario,117,316,199
330_p59,residuo_caso_anterior,49,58,9
330_p59,voto_separado,14,0,-14
330_p59,header_pagina,28,35,7
330_p59,epilogo,42,89,47
330_p59,dispositivo,110,44,-66
330_p642,firma,142,61,-81
330_p642,cuerpo,11505,11479,-26
330_p642,sumario,842,887,45
330_p642,voto_separado,28,12,-16
330_p642,header_pagina,302,301,-1
330_p642,epilogo,86,30,-56
330_p642,dispositivo,781,724,-57
330_p685,firma,125,53,-72
330_p685,cuerpo,90,116,26
330_p685,sumario,426,503,77
330_p685,residuo_caso_anterior,14,37,23
330_p685,voto_separado,17,33,16
330_p685,epilogo,43,90,47
330_p685,dispositivo,83,86,3
330_p704,firma,59,50,-9
330_p704,cuerpo,758,1067,309
330_p704,sumario,507,571,64
330_p704,residuo_caso_anterior,8,96,88
330_p704,epilogo,403,39,-364
330_p71,firma,35,24,-11
330_p71,sumario,233,241,8
330_p71,epilogo,64,0,-64
330_p71,dispositivo,80,24,-56
330_p713,firma,33,22,-11
330_p713,sumario,302,310,8
330_p713,epilogo,88,0,-88
330_p713,dispositivo,60,36,-24
330_p725,firma,103,72,-31
330_p725,cuerpo,3480,3453,-27
330_p725,sumario,1361,1405,44
330_p725,residuo_caso_anterior,4,0,-4
330_p725,voto_separado,9,14,5
330_p725,epilogo,11,37,26
330_p725,dispositivo,74,73,-1
330_p748,firma,151,51,-100
330_p748,sumario,1019,1113,94
330_p748,residuo_caso_anterior,24,120,96
330_p748,epilogo,247,203,-44
330_p748,dispositivo,240,215,-25
330_p834,firma,149,62,-87
330_p834,header_pagina,148,147,-1
330_p834,cuerpo,4678,4577,-101
330_p834,epilogo,54,0,-54
330_p834,sumario,1919,1997,78
330_p834,dispositivo,143,90,-53
330_p855,firma,211,58,-153
330_p855,sumario,3434,3587,153
330_p855,header_pagina,596,595,-1
330_p855,epilogo,2456,2431,-25
330_p971,firma,164,40,-124
330_p971,sumario,1524,1588,64
330_p971,header_pagina,260,259,-1
330_p971,epilogo,178,120,-58
331_p1028,firma,86,17,-69
331_p1028,sumario,645,672,27
331_p1028,cuerpo,563,536,-27
331_p1028,epilogo,0,53,53
331_p1028,residuo_caso_anterior,2,108,106
331_p1028,dispositivo,70,21,-49
331_p1040,firma,100,70,-30
331_p1040,sumario,1902,1944,42
331_p1040,residuo_caso_anterior,9,117,108
331_p1040,epilogo,72,59,-13
331_p1040,dispositivo,8722,8794,72
331_p1085,firma,105,49,-56
331_p1085,sumario,478,523,45
331_p1085,residuo_caso_anterior,7,79,72
331_p1085,epilogo,53,0,-53
331_p1085,dispositivo,101,28,-73
331_p1123,firma,168,58,-110
331_p1123,sumario,1195,1316,121
331_p1123,residuo_caso_anterior,294,169,-125
331_p1123,epilogo,817,1155,338
331_p1123,dispositivo,10073,9859,-214
331_p1287,firma,64,29,-35
331_p1287,cuerpo,1060,948,-112
331_p1287,epilogo,65,0,-65
331_p1287,sumario,306,332,26
331_p1287,dispositivo,110,33,-77
331_p132,firma,137,62,-75
331_p132,cuerpo,418,378,-40
331_p132,sumario,425,499,74
331_p132,residuo_caso_anterior,8,67,59
331_p132,epilogo,0,74,74
331_p132,dispositivo,66,60,-6
331_p1332,firma,66,41,-25
331_p1332,sumario,247,266,19
331_p1332,cuerpo,514,489,-25
331_p1332,dispositivo,184,128,-56
331_p1352,firma,39,36,-3
331_p1352,sumario,584,601,17
331_p1352,cuerpo,1177,1027,-150
331_p1352,residuo_caso_anterior,3,44,41
331_p1352,dispositivo,98,178,80
331_p1412,firma,43,22,-21
331_p1412,sumario,674,695,21
331_p1412,residuo_caso_anterior,7,64,57
331_p1412,epilogo,26,19,-7
331_p1488,firma,39,58,19
331_p1488,cuerpo,431,441,10
331_p1488,sumario,284,288,4
331_p1488,residuo_caso_anterior,0,87,87
331_p1488,epilogo,43,15,-28
331_p1488,apertura,5,10,5
331_p1488,dispositivo,114,188,74
331_p1530,firma,156,86,-70
331_p1530,cuerpo,4486,4649,163
331_p1530,sumario,1382,1500,118
331_p1530,header_pagina,344,350,6
331_p1530,apertura,5,17,12
331_p1611,firma,44,32,-12
331_p1611,cuerpo,2359,2318,-41
331_p1611,sumario,524,536,12
331_p1611,residuo_caso_anterior,9,37,28
331_p1611,epilogo,21,55,34
331_p1611,dispositivo,320,182,-138
331_p1646,firma,41,58,17
331_p1646,cuerpo,632,536,-96
331_p1646,sumario,333,345,12
331_p1646,residuo_caso_anterior,12,94,82
331_p1646,epilogo,74,0,-74
331_p1646,dispositivo,130,59,-71
331_p17,firma,185,99,-86
331_p17,sumario,723,809,86
331_p17,residuo_caso_anterior,0,6,6
331_p17,epilogo,127,88,-39
331_p1715,firma,71,52,-19
331_p1715,sumario,774,793,19
331_p1715,header_pagina,106,105,-1
331_p1771,firma,61,81,20
331_p1771,cuerpo,888,906,18
331_p1771,sumario,564,575,11
331_p1771,residuo_caso_anterior,9,28,19
331_p1771,voto_separado,17,20,3
331_p1771,epilogo,94,124,30
331_p1771,dispositivo,60,73,13
331_p1784,firma,111,65,-46
331_p1784,sumario,1359,1405,46
331_p1784,residuo_caso_anterior,3,16,13
331_p1804,firma,97,37,-60
331_p1804,sumario,392,452,60
331_p1804,epilogo,63,0,-63
331_p1815,firma,49,30,-19
331_p1815,sumario,1460,1479,19
331_p1815,residuo_caso_anterior,13,76,63
331_p1873,firma,3498,3435,-63
331_p1873,sumario,1024,1078,54
331_p1873,cuerpo,1811,2231,420
331_p1873,epilogo,629,0,-629
331_p1873,dispositivo,83,28,-55
331_p1927,firma,49,31,-18
331_p1927,sumario,552,570,18
331_p1942,firma,70,49,-21
331_p1942,cuerpo,4727,5126,399
331_p1942,sumario,3261,3683,422
331_p1942,header_pagina,280,283,3
331_p1942,epilogo,709,310,-399
331_p2002,firma,47,38,-9
331_p2002,cuerpo,210,228,18
331_p2002,sumario,212,222,10
331_p2002,residuo_caso_anterior,11,0,-11
331_p2002,voto_separado,16,20,4
331_p2002,epilogo,62,55,-7
331_p2002,dispositivo,112,100,-12
331_p2006,firma,85,80,-5
331_p2006,sumario,668,681,13
331_p2006,residuo_caso_anterior,7,24,17
331_p2006,epilogo,55,88,33
331_p2047,firma,48,31,-17
331_p2047,sumario,509,523,14
331_p2047,header_pagina,148,147,-1
331_p2047,epilogo,1120,905,-215
331_p2047,dispositivo,174,110,-64
331_p2135,firma,78,56,-22
331_p2135,header_pagina,99,98,-1
331_p2135,epilogo,219,190,-29
331_p2135,sumario,653,675,22
331_p2149,firma,43,27,-16
331_p2149,sumario,229,242,13
331_p2149,epilogo,701,660,-41
331_p2149,residuo_caso_anterior,10,39,29
331_p2149,dispositivo,702,660,-42
331_p2178,firma,71,86,15
331_p2178,cuerpo,3388,3357,-31
331_p2178,sumario,667,682,15
331_p2178,residuo_caso_anterior,11,17,6
331_p2178,voto_separado,13,27,14
331_p2178,epilogo,41,46,5
331_p2178,dispositivo,295,236,-59
331_p2240,firma,68,57,-11
331_p2240,sumario,520,536,16
331_p2240,cuerpo,1814,1633,-181
331_p2240,epilogo,48,25,-23
331_p2240,residuo_caso_anterior,5,0,-5
331_p2240,dispositivo,39,97,58
331_p2309,firma,154,53,-101
331_p2309,cuerpo,457,475,18
331_p2309,sumario,337,447,110
331_p2309,residuo_caso_anterior,5,0,-5
331_p2309,voto_separado,8,11,3
331_p2309,epilogo,81,135,54
331_p2309,dispositivo,47,60,13
331_p2343,firma,75,44,-31
331_p2343,cuerpo,1920,1889,-31
331_p2343,sumario,596,619,23
331_p2343,epilogo,48,0,-48
331_p2343,dispositivo,176,106,-70
331_p2353,firma,33,31,-2
331_p2353,sumario,707,824,117
331_p2353,header_pagina,28,35,7
331_p2353,cuerpo,515,563,48
331_p2353,epilogo,115,199,84
331_p2353,apertura,5,10,5
331_p2353,residuo_caso_anterior,6,31,25
331_p2353,dispositivo,97,167,70
331_p2376,firma,321,319,-2
331_p2376,voto_separado,9,0,-9
331_p2376,sumario,577,596,19
331_p2376,cuerpo,900,850,-50
331_p2376,epilogo,216,236,20
331_p2376,residuo_caso_anterior,5,101,96
331_p2376,dispositivo,33,92,59
331_p241,firma,46,59,13
331_p241,residuo_caso_anterior,0,94,94
331_p241,epilogo,59,0,-59
331_p241,sumario,531,535,4
331_p241,dispositivo,75,103,28
331_p2462,firma,47,37,-10
331_p2462,sumario,293,303,10
331_p2462,cuerpo,590,592,2
331_p2462,epilogo,64,62,-2
331_p2462,residuo_caso_anterior,3,65,62
331_p2515,firma,45,44,-1
331_p2515,cuerpo,96,64,-32
331_p2515,sumario,240,255,15
331_p2515,residuo_caso_anterior,14,45,31
331_p2515,voto_separado,15,0,-15
331_p2515,epilogo,64,45,-19
331_p2515,dispositivo,94,106,12
331_p2538,firma,135,105,-30
331_p2538,sumario,604,631,27
331_p2538,header_pagina,50,49,-1
331_p2538,cuerpo,1994,1750,-244
331_p2562,firma,35,68,33
331_p2562,voto_separado,10,0,-10
331_p2562,sumario,333,339,6
331_p2562,cuerpo,93,51,-42
331_p2562,epilogo,38,0,-38
331_p2562,residuo_caso_anterior,8,100,92
331_p2562,dispositivo,74,69,-5
331_p2614,firma,64,43,-21
331_p2614,sumario,443,464,21
331_p2614,header_pagina,50,49,-1
331_p2614,epilogo,134,92,-42
331_p266,firma,120,77,-43
331_p266,cuerpo,1392,1411,19
331_p266,sumario,728,790,62
331_p266,residuo_caso_anterior,15,0,-15
331_p266,voto_separado,7,21,14
331_p266,epilogo,567,595,28
331_p266,dispositivo,601,609,8
331_p2663,firma,52,41,-11
331_p2663,sumario,419,430,11
331_p2663,epilogo,74,20,-54
331_p2691,firma,54,34,-20
331_p2691,header_pagina,169,168,-1
331_p2691,epilogo,454,399,-55
331_p2691,sumario,1109,1126,17
331_p2691,dispositivo,5866,5796,-70
331_p2745,firma,95,60,-35
331_p2745,cuerpo,1136,1154,18
331_p2745,sumario,1051,1101,50
331_p2745,residuo_caso_anterior,9,17,8
331_p2745,voto_separado,0,5,5
331_p2745,epilogo,293,351,58
331_p2745,dispositivo,549,572,23
331_p2777,firma,96,52,-44
331_p2777,sumario,407,425,18
331_p2777,residuo_caso_anterior,10,77,67
331_p2777,epilogo,41,98,57
331_p2777,dispositivo,413,349,-64
331_p2827,firma,93,89,-4
331_p2827,cuerpo,217,235,18
331_p2827,sumario,686,715,29
331_p2827,residuo_caso_anterior,5,20,15
331_p2827,voto_separado,18,27,9
331_p2827,epilogo,99,120,21
331_p2827,dispositivo,218,230,12
331_p2848,firma,1574,62,-1512
331_p2848,sumario,354,1872,1518
331_p2848,cuerpo,676,558,-118
331_p2848,epilogo,45,58,13
331_p2848,residuo_caso_anterior,8,49,41
331_p2848,dispositivo,899,958,59
331_p2862,firma,79,51,-28
331_p2862,sumario,555,583,28
331_p2862,residuo_caso_anterior,4,60,56
331_p2862,epilogo,59,57,-2
331_p293,firma,60,32,-28
331_p293,cuerpo,792,702,-90
331_p293,sumario,453,389,-64
331_p293,residuo_caso_anterior,9,16,7
331_p293,epilogo,32,136,104
331_p293,dispositivo,188,94,-94
331_p303,firma,97,47,-50
331_p303,sumario,558,608,50
331_p36,firma,70,49,-21
331_p36,sumario,179,197,18
331_p36,residuo_caso_anterior,5,126,121
331_p36,epilogo,971,925,-46
331_p36,dispositivo,113,207,94
331_p415,firma,67,81,14
331_p415,cuerpo,269,245,-24
331_p415,sumario,275,291,16
331_p415,residuo_caso_anterior,13,129,116
331_p415,voto_separado,13,9,-4
331_p415,epilogo,51,0,-51
331_p415,dispositivo,124,144,20
331_p477,firma,86,37,-49
331_p477,sumario,402,451,49
331_p477,residuo_caso_anterior,5,0,-5
331_p477,epilogo,53,44,-9
331_p477,dispositivo,178,228,50
331_p488,firma,82,40,-42
331_p488,sumario,587,632,45
331_p488,residuo_caso_anterior,5,24,19
331_p488,epilogo,46,87,41
331_p499,firma,37,29,-8
331_p499,sumario,528,521,-7
331_p499,residuo_caso_anterior,18,14,-4
331_p499,epilogo,371,257,-114
331_p499,dispositivo,125,63,-62
331_p505,firma,113,49,-64
331_p505,cuerpo,2910,2668,-242
331_p505,sumario,786,842,56
331_p505,residuo_caso_anterior,3,144,141
331_p505,epilogo,0,48,48
331_p505,dispositivo,47,79,32
331_p525,firma,79,51,-28
331_p525,sumario,349,380,31
331_p525,cuerpo,99,92,-7
331_p525,epilogo,45,0,-45
331_p525,residuo_caso_anterior,3,0,-3
331_p525,dispositivo,65,74,9
331_p530,firma,180,111,-69
331_p530,header_pagina,43,42,-1
331_p530,sumario,361,430,69
331_p549,firma,110,49,-61
331_p549,sumario,1555,1642,87
331_p549,cuerpo,265,419,154
331_p549,apertura,5,10,5
331_p549,residuo_caso_anterior,3,0,-3
331_p570,firma,59,41,-18
331_p570,sumario,536,551,15
331_p570,residuo_caso_anterior,17,45,28
331_p570,dispositivo,203,176,-27
331_p583,firma,57,37,-20
331_p583,sumario,273,239,-34
331_p583,residuo_caso_anterior,28,27,-1
331_p583,header_pagina,42,35,-7
