caso_id_canonico,marco,origen_b,doble_cod,materia_capa,materia_fuente,parser_materia
330_p4690,A,,0,capa1,regla:seguridad social,previsional
330_p4797,A,,0,pendiente_capa2,sin_ancla,
330_p50,A,,1,pendiente_capa2,sin_ancla,
330_p5010,A,,0,capa1,regla:\ben lo civil\b,civil_comercial
330_p5064,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
330_p5131,A,,0,capa1,regla:\ben lo civil\b,civil_comercial
330_p5197,A,,0,capa1,regla:seguridad social,previsional
330_p5435,A,,0,capa2,kw+norma:24557(2),laboral
330_p610,A,,0,originaria,originaria,
330_p619,A,,0,capa2,provincia:ca,contencioso_administrativo
330_p803,B,materia=consumo,0,capa2,kw(1),consumo
331_p116,A,,0,capa1,regla:seguridad social,previsional
331_p123,A,,0,capa1,regla:seguridad social,previsional
331_p1651,A,,0,capa1,regla:seguridad social,previsional
331_p194,A,,0,originaria,originaria,
331_p2166,A,,0,capa2,norma:24463+objeto+parte(3),previsional
331_p2257,A,,0,pendiente_capa2,sin_ancla,
331_p2266,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
331_p2283,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
331_p2608,A,,0,capa1,regla:seguridad social,previsional
331_p2621,A,,0,pendiente_capa2,sin_ancla,
331_p2839,A,,0,capa1,regla:\bdel trabajo\b,laboral
331_p2910,A,,0,originaria,originaria,
331_p2913,A,,1,originaria,originaria,
331_p355,A,,0,capa2,provincia:ca,contencioso_administrativo
331_p499,A,,0,capa1,regla:\ben lo civil\b,civil_comercial
331_p536,A,,1,capa2,objeto(1),contencioso_administrativo
331_p549,B,materia=electoral,0,capa1,regla:electoral,electoral
331_p58,B,materia=ambiental,0,capa2,norma:24051(1),ambiental
331_p68,A,,0,pendiente_capa2,sin_ancla,
331_p748,B,materia=consumo,0,capa2,norma:24240(1),consumo
331_p846,A,,0,capa2,provincia:ca,contencioso_administrativo
331_p978,A,,0,pendiente_capa2,sin_ancla,
331_p989,A,,0,pendiente_capa2,sin_ancla,
332_p102,B,materia=consumo,0,capa2,kw(1),consumo
332_p1029,A,,0,capa2,kw(1),lesa_humanidad
332_p1035,A,,1,capa1,regla:contencioso administrativo,contencioso_administrativo
332_p105,A,,0,capa1,regla:\ben lo comercial\b,civil_comercial
332_p1190,B,materia=electoral,0,capa1,regla:electoral,electoral
332_p1280,A,,0,originaria,originaria,
332_p1338,A,,0,capa2,provincia:ca,contencioso_administrativo
332_p1382,A,,0,capa1,regla:\ben lo civil\b,civil_comercial
332_p1600,B,materia=ambiental,0,capa2,norma:25675(1),ambiental
332_p1629,A,,0,capa2,objeto(1),civil_comercial
332_p1704,A,,0,capa2,objeto(1),constitucional
332_p1741,A,,0,capa2,norma:24241(1),previsional
332_p1823,B,materia=consumo,0,capa2,norma:24240(1),consumo
332_p2043,A,,0,capa1,regla:\bdel trabajo\b,laboral
332_p2208,A,,0,pendiente_capa2,sin_ancla,
332_p2502,A,,0,capa2,provincia:ca,contencioso_administrativo
332_p2604,A,,0,capa2,kw+objeto(2),penal
332_p2625,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
332_p2797,A,,1,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d),tributario
332_p2806,B,materia=tributario,0,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d),tributario
332_p324,A,,0,capa1,regla:\ben lo comercial\b,civil_comercial
332_p399,B,materia=salud,0,capa2,coocur:salud_amparo,salud
332_p433,B,materia=electoral,0,capa1,regla:electoral,electoral
332_p548,A,,1,originaria,originaria,
332_p582,A,,0,capa2,kw+norma:25675(2),ambiental
332_p595,A,,0,capa2,objeto(1),civil_comercial
332_p810,A,,0,pendiente_capa2,sin_ancla,
332_p850,A,,0,capa1,regla:seguridad social,previsional
332_p962,A,,0,capa1,regla:\ben lo civil\b,civil_comercial
332_p979,A,,1,capa2,parte(1),cambiario
333_p1235,A,,1,capa1,regla:casacion penal,penal
333_p1639,A,,1,capa2,kw(1),penal
333_p2010,A,,0,capa1,regla:\ben lo comercial\b,civil_comercial
333_p215,A,,0,originaria,originaria,
333_p241,A,,0,sui_generis,Consejo de la Magistratura de la Nación,
333_p290,A,,1,capa2,kw(1),civil_comercial
333_p300,A,,1,capa2,kw+parte(2),tributario
333_p447,A,,0,capa1,regla:\ben lo civil\b,civil_comercial
333_p508,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
333_p570,B,materia=ambiental,0,capa2,kw+norma:25675(2),ambiental
333_p60,A,,0,originaria,originaria,
333_p9,A,,0,originaria,originaria,
334_p1070,A,,0,originaria,originaria,
334_p1074,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
334_p1081,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
334_p1204,A,,0,capa2,objeto(1),penal
334_p1276,A,,1,capa1,regla:contencioso administrativo,contencioso_administrativo
334_p144,B,materia=electoral,0,capa1,regla:electoral,electoral
334_p376,A,,0,pendiente_capa2,conflicto_capa2:civil_comercial/laboral,
