caso_id,tipo,vp_base,vp_new,lfr_base,lfr_new,n_jueces_new
329_p1309,lfr_cambio,unanime,unanime,49875,49849,6
329_p1311,MEJORA,sin_firma,unanime,50096,50103,6
329_p1348,lfr_cambio,unanime,unanime,51316,51317,5
329_p1541,lfr_cambio,mixed,mixed,6897,6894,7
329_p1554,MEJORA,sin_firma,unanime,7440,7455,6
329_p1568,MEJORA,sin_firma,unanime,8147,8164,6
329_p1586,lfr_cambio,unanime,unanime,8808,8795,5
329_p1661,lfr_cambio,disidencia,disidencia,11361,11332,7
329_p1672,MEJORA,sin_firma,unanime,11439,11455,5
329_p1684,lfr_cambio,unanime,unanime,12116,12089,6
329_p1696,lfr_cambio,unanime,unanime,12449,12422,5
329_p1699,lfr_cambio,unanime,unanime,12546,12548,5
329_p1703,lfr_cambio,disidencia,disidencia,13006,13007,7
329_p1758,lfr_cambio,disidencia,disidencia,14884,14885,7
329_p1843,lfr_cambio,unanime,unanime,18125,18098,5
329_p1853,lfr_cambio,unanime,unanime,18475,18461,7
329_p1859,MEJORA,sin_firma,unanime,18653,18665,5
329_p1875,lfr_cambio,unanime,unanime,19385,19386,5
329_p19,lfr_cambio,unanime,unanime,577,578,5
329_p1908,lfr_cambio,unanime,unanime,20569,20542,5
329_p1917,lfr_cambio,unanime,unanime,20966,20936,6
329_p1928,lfr_cambio,sin_firma,sin_firma,21259,21263,0
329_p2062,lfr_cambio,disidencia,disidencia,26324,26325,7
329_p2088,lfr_cambio,mixed,mixed,27911,27927,7
329_p2105,lfr_cambio,unanime,unanime,28154,28130,5
329_p2121,MEJORA,sin_firma,unanime,28640,28665,5
329_p2125,lfr_cambio,unanime,unanime,28838,28839,5
329_p2139,lfr_cambio,unanime,unanime,29250,29232,6
329_p2149,lfr_cambio,unanime,unanime,29604,29605,6
329_p2166,lfr_cambio,unanime,unanime,30323,30324,5
329_p2174,MEJORA,sin_firma,disidencia,30535,30556,6
329_p2194,lfr_cambio,disidencia,disidencia,31182,31200,6
329_p2355,lfr_cambio,unanime,unanime,37159,37140,5
329_p2358,lfr_cambio,unanime,unanime,37277,37278,5
329_p2485,MEJORA,sin_firma,unanime,42413,42429,5
329_p2552,lfr_cambio,disidencia,disidencia,45117,45118,7
329_p2606,lfr_cambio,disidencia,disidencia,46842,46843,7
329_p2631,lfr_cambio,mixed,mixed,48145,48154,7
