caso_id,tipo,vp_base,vp_new,lfr_base,lfr_new,n_jueces_new
329_p1311,MEJORA,sin_firma,unanime,50096,50103,6
329_p1554,lfr_cambio,sin_firma,sin_firma,7440,7443,0
329_p1568,lfr_cambio,sin_firma,sin_firma,8147,8150,0
329_p1661,lfr_cambio,disidencia,disidencia,11361,11332,7
329_p1672,MEJORA,sin_firma,unanime,11439,11455,5
329_p1696,lfr_cambio,unanime,unanime,12449,12422,5
329_p1908,lfr_cambio,unanime,unanime,20569,20542,5
329_p1917,lfr_cambio,unanime,unanime,20966,20936,6
329_p2088,lfr_cambio,mixed,mixed,27911,27927,7
329_p2139,lfr_cambio,unanime,unanime,29250,29232,6
329_p2174,MEJORA,sin_firma,disidencia,30535,30556,6
329_p2194,lfr_cambio,disidencia,disidencia,31182,31200,6
329_p2355,lfr_cambio,unanime,unanime,37159,37140,5
329_p2485,MEJORA,sin_firma,unanime,42413,42429,5
329_p2631,lfr_cambio,mixed,mixed,48145,48154,7
329_p2731,lfr_cambio,segun_su_voto,segun_su_voto,51508,51455,5
329_p2745,lfr_cambio,unanime,unanime,52269,52293,5
329_p2764,lfr_cambio,disidencia,disidencia,53234,53241,7
329_p2856,lfr_cambio,unanime,unanime,56136,56144,6
329_p3162,lfr_cambio,unanime,unanime,7660,7625,5
329_p335,lfr_cambio,mixed,mixed,12813,12788,7
329_p3470,lfr_cambio,unanime,unanime,20160,20154,6
329_p349,lfr_cambio,segun_su_voto,segun_su_voto,13203,13212,5
329_p353,lfr_cambio,segun_su_voto,segun_su_voto,13392,13404,7
329_p3843,lfr_cambio,unanime,unanime,34485,34462,5
329_p3848,MEJORA,sin_firma,unanime,34652,34665,7
329_p3890,MEJORA,sin_firma,unanime,36300,36308,6
329_p3925,lfr_cambio,unanime,unanime,37578,37561,5
329_p4032,lfr_cambio,unanime,unanime,41849,41850,5
329_p4168,MEJORA,sin_firma,unanime,46777,46783,5
329_p4172,MEJORA,sin_firma,unanime,46999,47007,5
329_p4176,lfr_cambio,sin_firma,sin_firma,47062,47077,0
329_p4194,lfr_cambio,unanime,unanime,47742,47721,5
329_p4396,lfr_cambio,unanime,unanime,55470,55471,6
329_p4409,lfr_cambio,unanime,unanime,55758,55755,5
329_p4438,lfr_cambio,unanime,unanime,57009,56995,6
329_p4464,lfr_cambio,disidencia,disidencia,57939,57946,6
329_p4481,lfr_cambio,unanime,unanime,58465,58437,6
329_p4741,lfr_cambio,segun_su_voto,segun_su_voto,68842,68859,7
329_p4755,lfr_cambio,mixed,mixed,69099,69105,8
329_p4789,lfr_cambio,sin_firma,sin_firma,70647,70658,0
329_p4822,MEJORA,sin_firma,unanime,71458,71472,7
329_p4902,lfr_cambio,disidencia,disidencia,715,690,7
329_p493,lfr_cambio,segun_su_voto,segun_su_voto,18707,18727,6
329_p4979,lfr_cambio,disidencia,disidencia,3570,3567,7
329_p5007,MEJORA,sin_firma,unanime,4598,4616,5
329_p5138,lfr_cambio,unanime,unanime,9509,9482,5
329_p5178,MEJORA,sin_firma,unanime,11223,11231,5
329_p5375,lfr_cambio,unanime,unanime,18672,18673,5
329_p5493,lfr_cambio,unanime,unanime,23255,23269,5
329_p551,MEJORA,sin_firma,unanime,20817,20839,5
329_p5605,MEJORA,sin_firma,unanime,27264,27284,5
329_p5689,MEJORA,sin_firma,unanime,30392,30400,6
329_p5769,lfr_cambio,segun_su_voto,segun_su_voto,33484,33452,6
329_p5778,lfr_cambio,mixed,mixed,33927,33943,6
329_p5846,lfr_cambio,unanime,unanime,36169,36142,6
329_p6002,lfr_cambio,segun_su_voto,segun_su_voto,42229,42208,6
329_p6044,lfr_cambio,unanime,unanime,43685,43652,6
329_p717,lfr_cambio,unanime,unanime,27335,27314,5
329_p792,lfr_cambio,unanime,unanime,30347,30307,5
329_p83,lfr_cambio,unanime,unanime,3101,3073,5
329_p988,REGRESION,unanime,sin_firma,37378,37333,0
330_p1088,lfr_cambio,unanime,unanime,41786,41774,4
330_p1183,REGRESION,unanime,sin_firma,45365,45321,0
330_p1257,lfr_cambio,unanime,unanime,48089,48082,4
330_p1507,lfr_cambio,unanime,unanime,7216,7195,5
330_p1578,lfr_cambio,disidencia,disidencia,9656,9665,5
330_p1603,lfr_cambio,sin_firma,sin_firma,10642,10645,0
330_p1718,lfr_cambio,unanime,unanime,15197,15193,6
330_p1791,lfr_cambio,segun_su_voto,segun_su_voto,18265,18229,7
330_p2049,lfr_cambio,disidencia,disidencia,28080,28062,6
330_p2059,MEJORA,sin_firma,unanime,28139,28148,4
330_p2180,lfr_cambio,disidencia,disidencia,32858,32869,7
330_p222,lfr_cambio,sin_firma,sin_firma,8110,8084,0
330_p2231,lfr_cambio,mixed,mixed,34694,34665,6
330_p224,lfr_cambio,unanime,unanime,8260,8276,4
330_p2491,lfr_cambio,unanime,unanime,44818,44819,4
330_p2575,MEJORA,sin_firma,unanime,48159,48178,6
330_p2792,lfr_cambio,sin_firma,sin_firma,56277,56257,0
330_p3444,lfr_cambio,disidencia,disidencia,22747,22759,7
330_p3546,lfr_cambio,segun_su_voto,segun_su_voto,26686,26682,6
330_p3623,lfr_cambio,unanime,unanime,29736,29717,6
330_p3801,lfr_cambio,unanime,unanime,37853,37849,2
330_p3899,lfr_cambio,unanime,unanime,40540,40529,4
330_p4144,lfr_cambio,mixed,mixed,50493,50477,7
330_p4328,lfr_cambio,disidencia,disidencia,733,706,5
330_p4807,MEJORA,sin_firma,unanime,18886,18901,4
330_p4851,MEJORA,sin_firma,unanime,20704,20719,4
330_p487,lfr_cambio,unanime,unanime,18413,18384,7
330_p499,lfr_cambio,disidencia,disidencia,19013,18989,7
330_p58,lfr_cambio,unanime,unanime,2046,2025,4
