caso_id,tomo,span,span_real,modo,tiene_dispositivo,disp_tipo,disp_tier,disp_idx,firma_forward,firma_inversa_motivo,firma_inversa_raw,jueces_ultimas30,candidatas_firma,ultimas_10,contexto_dispositivo
340_p1213,340,535,536,D_sin_pistas_firma,si,por_ello,tier1_fallback,530,,sin_firma_post_fallo,,,,"y determine el monto de los gastos del tratamiento terapéutico con | arreglo a lo establecido por el art. 4° de la ley 23.109, cuestión -esta | última- que fue omitida en el pronunciamiento apelado (confr. fs. 288, | ítem 5; 364, punto 4, y 434, punto d). | Por ello y lo concordemente dictaminado por la señora Procura- | dora Fiscal, el Tribunal resuelve: Declarar procedente el recurso ex- | traordinario y dejar sin efecto la sentencia apelada. Vuelvan los autos | al tribunal de origen para que,","ítem 5; 364, punto 4, y 434, punto d). | Por ello y lo concordemente dictaminado por la señora Procura- | dora Fiscal, el Tribunal resuelve: Declarar procedente el recurso ex- | traordinario y dejar sin efecto la sentencia apelada. Vuelvan los autos | al tribunal de origen para que, por medio de qui"
341_p892,341,216,217,A_juez_no_en_lista,no,,sin_dispositivo,,,sin_zona_fallo,,,L212: diciembre de 2016. Laura M. Monti.,"(ley 27.341, art. 42). | -VI- | Opino, por lo tanto, que corresponde declarar procedente el recur­ | so extraordinario interpuesto por el Estado Nacional y revocar la sen­ | tencia apelada en cuanto fue materia de agravios. Buenos Aires, 28 de | diciembre de 2016. Laura M. Monti. | 341 | 898 | FALLOS DE LA CORTE SUPREMA",
341_p1293,341,188,189,A_juez_no_en_lista,no,,sin_dispositivo,,,sin_firma_post_fallo,,,L177: Laura M. Monti.,"Buenos Aires, 3 de octubre de 2018. | Vistos los autos: “Recurso de hecho deducido por la demandada en | la causa Roldán Silvia Beatriz Teresa c/ Edesur SA s/ daños y perjui­ | cios”, para decidir sobre su procedencia. | 341 | 1298 | FALLOS DE LA CORTE SUPREMA | Considerando: | Que esta Corte comparte los fundamentos y conclusiones del",
341_p2015,341,170,171,A_juez_no_en_lista,si,por_ello,tier1_fallback,169,,sin_firma_post_fallo,,,"L156: apelada. Buenos Aires, 6 de octubre de 2016. Laura M. Monti.; L163: Vistos los autos: “Flores, Héctor Alberto c/ EN – Mº RREE y C –","FALLO DE LA CORTE SUPREMA | Buenos Aires, 26 de diciembre de 2018. | Vistos los autos: “Flores, Héctor Alberto c/ EN – Mº RREE y C – | resol. 1008/12 s/ proceso de conocimiento”. | Considerando: | Que esta Corte comparte los fundamentos del dictamen de la seño­ | ra Procuradora Fiscal, a los que cabe remitir por razones de brevedad, | con excepción de lo expresado en el párrafo quinto del punto IV. | Por ello, se declara procedente el recurso extraordinario y se | confirma la sentencia apelada, ","con excepción de lo expresado en el párrafo quinto del punto IV. | Por ello, se declara procedente el recurso extraordinario y se | confirma la sentencia apelada, con costas (artículo 68 del Código"
342_p1847,342,1926,1927,D_sin_pistas_firma,si,por_todo_lo_exp,tier1_fallback,1069,,sin_firma_post_fallo,,,,"Por ello, concordemente con lo dictaminado por el señor Pro­ | curador General subrogante en lo pertinente, se declara admisible | 342 | 1894 | FALLOS DE LA CORTE SUPREMA | el recurso extraordinario, se revoca la sentencia apelada y se hace | lugar parcialmente a la demanda (art. 16, 2° párrafo, de la ley 48). | Costas por su orden en todas las instancias. Notifíquese y, oportu­ | namente, devuélvase.","Código Procesal Civil y Comercial de la Nación). | Por todo lo expuesto, y oído el señor Procurador General subrogan­ | te, corresponde rechazar el recurso extraordinario federal y confirmar | la sentencia dictada por la Sala III de la Cámara Nacional de Apela­ | ciones en lo Contencioso Administrat"
344_p325,344,149,150,A_juez_no_en_lista,no,,sin_dispositivo,,,sin_zona_fallo,,,L149: Ernesto Abramovich Cosarin.,"Por lo expuesto, opino que las actuaciones deben seguir su trá­ | mite ante el Juzgado de Familia de la 3ª Nominación de la provincia | 329 | DE JUSTICIA DE LA NACIÓN | 344 | de San Juan, que deberá profundizar esfuerzos para alcanzar -con la | celeridad que el caso amerita- aquellas soluciones más respetuosas de | los derechos de los niños. Buenos Aires, 27 de octubre de 2020. Víctor | Ernesto Abramovich Cosarin.",
344_p1102,344,1390,1391,D_sin_pistas_firma,si,por_ello,tier1_fallback,1328,,sin_firma_post_fallo,,,,"la superpoblación carcelaria, de modo que la densidad poblacional sea | compatible con el respeto de los derechos humanos de las personas | privadas de su libertad. | 1137 | DE JUSTICIA DE LA NACIÓN | 344 | Por todo ello y, habiendo dictaminado la señora Procuradora Fis­ | cal subrogante en los términos expuestos, se rechaza la queja. Notifí­ | quese y archívese.",torne equiparable a definitiva la resolución impugnada. Corresponde | por ello desestimar la queja interpuesta. | 6°) Sin perjuicio de la decisión a la que se arriba y de las acciones | de la Suprema Corte de la Provincia de Buenos Aires inequívocamente | dirigidas a enfrentar la severa crisis del s
344_p1211,344,206,207,A_juez_no_en_lista,no,,sin_dispositivo,,,sin_zona_fallo,,,L196: PUBLICA ARGENTINA”.,"Su art. 4° fija la forma de cálculo de la “alícuota” de los dere­ | chos de exportación de los hidrocarburos que figuran en su anexo | I, entre los que se encuentra el aquí documentado en la destinación | 10087EC01000064F, mediante una fórmula que tiene en cuenta dicho | precio internacional. | Luego, el art. 7° del citado reglamento fija que: “A los efectos de | aplicar el valor del Precio Internacional (Pi) de los productos inclui­ | dos en el Anexo I, la Dirección General de Aduanas dependien",
344_p2115,344,304,305,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_zona_fallo,,,,"a todos efectos legales “zona primaria aduanera” (conf. art. 4°, primer | párr.), lo cierto es que dicha calificación carece de incidencia en lo con­ | cerniente al control de transporte. | En efecto, en cuanto aquí interesa, resulta contundente lo dispues­ | to en el art. 44 del capítulo V (Del control de los medios de transporte) | en cuanto prevé: “Ámbito de aplicación: Los controles referentes a los | medíos de transporte de cargas que fueran ejercidos en las ACI por | parte de funcionarios ",
344_p2752,344,486,487,A_juez_no_en_lista,si,por_todo_lo_exp,tier1_fallback,465,,sin_firma_post_fallo,,,"L473: Botana Diego – Rivera Julio Cesar – Torres Veronica Nidia –; L474: Caballero Maria Rosa.; L476: sentado por el Dr. Norberto S. Bisaro.; L478: Alejandro J. Villanueva.; L484: tivo Federal, Sala II.; L486: Contencioso Administrativo Federal n° 8.","Traslado contestado por Adolfo María Repetto, parte actora, representado por el Dr. | Alejandro J. Villanueva. | 2765 | DE JUSTICIA DE LA NACIÓN | 344 | Tribunal de origen: Cámara Nacional de Apelaciones en lo Contencioso Administra­ | tivo Federal, Sala II. | Tribunal que intervino con anterioridad: Juzgado Nacional de Primera Instancia en lo | Contencioso Administrativo Federal n° 8.","régimen de consolidación de deuda dispuesto por la ley 23.982. | Por todo lo expuesto, y oído el señor Procurador General subro­ | gante, se declara admisible el recurso extraordinario federal y se re­ | voca parcialmente la sentencia apelada con el alcance que surge de los | párrafos precedentes. C"
345_p159,345,26,27,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_zona_fallo,,,,"COMPETENCIA LOCAL | Toda vez que a partir de la sanción de la ley 25.886 tanto la tenencia | como la portación de armas pertenecen al ámbito de competencia de la | justicia ordinaria y que el secuestro del arma se produjo en una locali­ | dad provincial, debe ser la justicia local la que continúe con la investiga­ | ción sin perjuicio, de que si el magistrado entiende que ella corresponde | a otro juez de su misma provincia, se la remita de conformidad con las | normas del derecho procesal local",
345_p715,345,38,39,A_juez_no_en_lista,no,,sin_dispositivo,,,sin_zona_fallo,,,L9: Contencioso Administrativo Federal n° 9.,"la Capital si el hecho ocurre en esa jurisdicción y la competencia de | los jueces federales de la correspondiente sección territorial si el hecho | ocurre en las provincias. | CONFLICTO DE COMPETENCIA | Toda vez que el caso tiene por objeto el reclamo de un detenido en el | Complejo Penitenciario Federal de la Ciudad de Buenos Aires, en virtud | de lo establecido en la normativa aplicable (arts. 8° y 10 de la ley 23.098), | corresponde que la Cámara Nacional de Apelaciones en lo Criminal y | Co",
346_p73,346,21,22,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_zona_fallo,,,,"346 | 74 | FALLOS DE LA CORTE SUPREMA | en redes interjurisdiccionales, situación que no se observa en la causa | donde se acciona exclusivamente contra una entidad privada y hasta | el momento, no se dirige a revisar eventuales datos que consten en la | Central de Deudores del Sistema Financiero que gestiona el Banco | Central o en las bases de información que gestionan las empresas de | informes crediticios. | -Del dictamen de la Procuración General al que la Corte remite-(*)",
346_p235,346,21,22,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_zona_fallo,,,,"relocalización de los actores sin contar con los servicios públicos | elementales y a suspender la obra de Saneamiento del Canal Muji­ | ca llevada adelante por organismos nacionales y municipales en el | marco de la causa “Mendoza” (conf. Fallos: 332:2522, cons. 3, punto | c, y Fallos: 339:1663, “Pons”). | -Del dictamen de la Procuración General al que la Corte remite-(*) | 346 | 236 | FALLOS DE LA CORTE SUPREMA",
346_p969,346,29,30,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_zona_fallo,,,,"cesos relativos a niños al juez del foro en el cual se sitúa su centro de | vida, entendido como el lugar donde la persona menor de edad hubiese | transcurrido, en condiciones legítimas, la mayor parte de su existen­ | cia, conforme dispone el artículo 3, inciso f, de la Ley de Protección | Integral de los Derechos de las Niñas, Niños y Adolescentes, 26.061. | (Disidencia del juez Rosenkrantz). | 346 | 970 | FALLOS DE LA CORTE SUPREMA",
346_p1087,346,21,22,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_zona_fallo,,,,"FALLOS DE LA CORTE SUPREMA | OCTUBRE | ADMINISTRACIÓN de PARQUES NACIONALES c/ | SAN LUIS, PROVINCIA de s/ Acción declarativa de | inconstitucionalidad y escrituración | EXPROPIACION | EXPROPIACION | 1089 | DE JUSTICIA DE LA NACIÓN",
347_p109,347,281,282,D_sin_pistas_firma,si,en_consecuencia,tier1_fallback,113,,sin_zona_fallo,,,,"dencia del recurso extraordinario federal, dando inicio a la hoy | centenaria doctrina de la arbitrariedad, a pesar de que tal supues­ | to no estaba incluido en el artículo 14 de la ley 48, dando inicio a | la hoy centenaria doctrina de la arbitrariedad, a pesar de que tal | supuesto no estaba incluido en el artículo 14 de la ley 48”. | 347 | 116 | FALLOS DE LA CORTE SUPREMA | MARZO","mal interpretado. | En consecuencia resolvió que no había mérito para revocar el | fallo ya que conforme a la doctrina y jurisprudencia, los jueces, dentro | del procedimiento criminal, estaban habilitados a ordenar la destruc­ | ción de marcas aun cuando hubieran absuelto a los acusados. | En sínte"
347_p1084,347,1729,1730,A_juez_no_en_lista,si,por_ello,tier1_fallback,1705,,sin_firma_post_fallo,,,"L1712: jueces Rosatti, Maqueda y Lorenzetti).; L1716: jueces Rosenkrantz, Lorenzetti y Bertuzzi).; L1724: Pablo Daniel Bertuzzi.; L1726: sentada por el Dr. Marcelo Iván Eduardo Pautassi.","FALLOS DE LA CORTE SUPREMA | En tales condiciones, se desestima la queja. Se da por perdido el | depósito. Notifíquese, devuélvanse los autos principales y, oportuna­ | mente, archívese. | Pablo Daniel Bertuzzi. | Recurso de queja interpuesto por la Provincia de Tucumán, parte demandada repre­ | sentada por el Dr. Marcelo Iván Eduardo Pautassi. | Tribunal de origen: Corte Suprema de Justicia de la Provincia de Tucumán. | Tribunal que intervino con anterioridad: Sala II de la Cámara en lo Contenc","porque significaría que hay “caso” para responder el agravio. | Por ello, habiendo dictaminado la señora Procuradora Fiscal, y de | acuerdo con los argumentos expresados en cada uno de los votos, se | resuelve: | 1. Con respecto de los agravios vinculados a los artículos 48, 49, | 67, inciso 26; 68 "
348_p1230,348,27,28,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_zona_fallo,,,,"esa facultad excepcional deviene impropio en supuestos en el que media | un pronunciamiento sobre el fondo, pues sin perjuicio del orden público | implicado en las reglas que regulan la competencia, igual tenor revisten | las tendientes a lograr la pronta terminación de los procesos, en tanto | no se opongan a ello principios fundamentales que pudieran impedirlo. | RECURSO EXTRAORDINARIO | Si bien las sentencias que resuelven cuestiones sobre competencia no | habilitan la instancia del artículo ",
348_p1523,348,25,26,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_zona_fallo,,,,"el medio interjurisdiccional implicado, corresponde atribuir la compe­ | tencia al fuero mencionado.(*) | Los conflictos de competencia suscitados entre los magistrados nacio­ | nales ordinarios y los federales con asiento en la Ciudad Autónoma de | Buenos Aires, corresponde que sean resueltos por esta Corte Suprema | de Justicia de la Nación. | 348 | 1524 | FALLOS DE LA CORTE SUPREMA",
348_p1729,348,25,26,A_juez_no_en_lista,no,,sin_dispositivo,,,sin_zona_fallo,,,L25: resueltos por la Corte Suprema de Justicia de la Nación.,de ese cuerpo legal y su decreto reglamentario 480/2018 prevén la com­ | petencia del fuero civil y comercial federal para los recursos directos en | materia de defensa de la competencia. | -Del dictamen de la Procuración General al que la Corte remite-(*) | COMPETENCIA | Por aplicación de la doctrina establecida por la Corte en el precedente | “José Mármol 824” (Fallos: 341:611) los conflictos de competencia sus­ | citados entre los magistrados nacionales ordinarios y los federales con | asient,
