caso_id,tomo,span,span_real,modo,tiene_dispositivo,disp_tipo,disp_tier,disp_idx,firma_forward,firma_inversa_motivo,firma_inversa_raw,jueces_ultimas30,candidatas_firma,ultimas_10,contexto_dispositivo
329_p4135,329,174,175,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_firma_post_fallo,,,,"FALLOS DE LA CORTE SUPREMA | 329 | FALLO DE LA CORTE SUPREMA | Buenos Aires, 26 de septiembre de 2006. | Vistos los autos: “Recurso de hecho deducido por la demandada en | la causa Vallejo, Abel Miguel c/ Empresa Nacional de Telecomunica- | ciones”, para decidir sobre su procedencia. | Considerando: | Que las cuestiones debatidas guardan sustancial analogía con las | resueltas por esta Corte en la causa U.8.XXXIX, “Ursina, Angela",
329_p4170,329,61,62,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_firma_post_fallo,,,,"la deudora debió, para evitar la ejecución forzada que se ordena, efec- | tuar la previsión presupuestaria correspondiente, y al no haberlo he- | cho debe hacerse lugar a la traba del embargo que se requiere (conf. | arg. Fallos: 322:1201 y 324:933 y causas: C.276.XXXIX. “Caja Com- | plementaria de Previsión para la Actividad Docente c/ Jujuy, Provin- | cia de s/ ejecución fiscal” y C.903.XXXVII. “Caja Complementaria de | 4172 | FALLOS DE LA CORTE SUPREMA | 329",
329_p4176,329,77,78,A_juez_no_en_lista,no,,sin_dispositivo,,,sin_firma_post_fallo,,,L53: noviembre de 2004. Ricardo O. Bausset.,"2) Que la presente demanda corresponde a la competencia origi- | naria de esta Corte, por lo que en razón de brevedad cabe remitirse a | los fundamentos expuestos por el señor Procurador General en su dic- | tamen de fs. 36. | 3) Que por los diversos motivos que se esgrimen en el escrito ini- | cial la actora solicita el dictado de una medida de no innovar a fin de | que se ordene a la demandada que se abstenga de llevar adelante cual- | quier acción tendiente a la percepción del gravamen de q",
329_p4789,329,577,578,A_juez_no_en_lista,si,en_consecuencia,tier1_fallback,449,,sin_firma_post_fallo,,,L563: que en ese entonces realizaba la ruta Aeroparque – Paraná – Aero-,"encuentra en mora a partir del vencimiento del plazo para el pago de | cada factura (arts. 464 y 474 del Código de Comercio y 509 del Código | Civil; Fallos: 317:1598 y 320:1048, entre otros). Por consiguiente, di- | chos accesorios deben ser calculados hasta el 31 de diciembre de 1999 | a la tasa pasiva promedio que publica mensualmente el Banco Cen- | tral de la República Argentina (causa “Serenar S.A.”, sentencia del 19 | de agosto de 2004) (*); y desde entonces hasta el efectivo pago a la qu","ejercicio de sus funciones, carga que en modo alguno satisfizo. | En consecuencia, probada la realización del servicio aéreo, que éste | fue requerido por un funcionario provincial en ejercicio de sus atribu- | ciones y que fue prestado al codemandado Busti en su carácter de re- | presentante legal "
329_p5151,329,235,236,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_firma_post_fallo,,,,"columnas 13 (fs. 853/880) y 14 del informe pericial (fs. 881/888 y | 890/900), constituyen el saldo del capital adeudado y es sobre dichas | sumas que se deben calcular los accesorios previstos en el régimen de | seguridad social a partir del 1º de julio de 1996. | 5157 | DE JUSTICIA DE LA NACION | 329 | 7º) Que sin perjuicio de lo expuesto, y de conformidad con lo re- | suelto por este Tribunal en la causa R.103. XXXV “Roque Reymundo e",
330_p222,330,24,25,A_juez_no_en_lista,no,,sin_dispositivo,,,sin_zona_fallo,,,"L11: –Del dictamen de la Procuración General, al que remitió la Corte Suprema–.; L23: –Del precedente “De la Horra” (Fallos: 322:464), al que remitió la Corte Supre-","330 | RECURSO EXTRAORDINARIO: Requisitos propios. Cuestiones no federales. Senten- | cias arbitrarias. Procedencia del recurso. Defectos en la fundamentación normativa. | Corresponde dejar sin efecto la sentencia que impuso las costas por su orden por | considerar aplicable el art. 21 de la ley 24.463, prescindiendo de la norma que | rige el caso, ya que de los antecedentes parlamentarios de dicha norma no surge | que la intención de los legisladores haya sido extender a esta clase de demandas |",
330_p747,330,23,24,A_juez_no_en_lista,no,,sin_dispositivo,,,sin_firma_post_fallo,,,L1: NULIDAD DE SENTENCIA.,"FALLOS DE LA CORTE SUPREMA | 330 | Que el recurso debe ser rechazado. Ello es así toda vez que la tacha | de nulidad de sentencia sólo juega dentro de un determinado ámbito, | específico y circunscripto, en el que no tiene cabida la discusión sobre | el acierto o el error de los argumentos que sustentan el fallo de que se | trata. La oposición de esa tacha no permite acoger un planteo que | únicamente sería viable, vgr. si mediara posibilidad de apelación. De | ello se deduce, con clara evidenci",
330_p1603,330,96,97,A_juez_no_en_lista,no,,sin_dispositivo,,,sin_zona_fallo,,,"L83: para la Actividad Docente c/ Jujuy, Provincia de –Poder Ejecutivo– s/; L94: visión para la Actividad Docente c/ San Luis, Provincia de –Poder Eje-","FALLOS DE LA CORTE SUPREMA | 330 | 4º) Que de acuerdo a lo establecido anteriormente sólo resta consi- | derar la cuestión referente a la ley de consolidación introducida en el | marco de la presunta inhabilidad del título que se ejecuta. | 5º) Que según lo resuelto por esta Corte en Fallos: 319:2931; | 320:1243; y en las causas C.960.XXIII “Caja Complementaria de Pre- | visión para la Actividad Docente c/ San Luis, Provincia de –Poder Eje- | cutivo– s/ ejecución fiscal”, sentencia del 18 de nov",
330_p1643,330,21,22,B_disp_faltante_juez_presente,no,,sin_dispositivo,,,sin_zona_fallo,,Lorenzetti@L6; Tyden de Skanata (conjuez)@L7; Petra Fernández (conjuez)@L8,L5: causa A.1568.XLII y notifíquese a las partes.; L11: HONORARIOS: Regulación.,"El art. 6º de la ley 21.839 –modificada por la 24.432– excluye la posibilidad de | retribuir las tareas cuando la actuación cumplida resulte inoficiosa, es decir, | carente de toda utilidad para lograr el efecto perseguido con su presentación. Tal | extremo se verifica cuando, frente al preciso e inequívoco alcance que los letra- | dos de la demandada asignaron al recurso ordinario de apelación que interpusie- | ron, en cuanto a que únicamente tuvo por objeto cuestionar los honorarios regu- | la",
330_p1759,330,43,44,A_juez_no_en_lista,no,,sin_dispositivo,,,sin_zona_fallo,,,L42: –Del precedente “Asociación de Prestaciones Sociales para Empresarios” (Fa-,"cionales. | La desestimación del recurso extraordinario por la sola mención del art. 280 del | Código Procesal Civil y Comercial de la Nación en tanto implica que la Corte, por | no haber hallado en la causa elementos que tornen manifiesta la presunta arbi- | trariedad invocada, decide no pronunciarse sobre el punto, no conculca los dere- | chos constitucionales de defensa en juicio, de propiedad, y de debido proceso le- | gal, ni los principios de juez natural, de sentencia fundada en ley y de ",
330_p2792,330,26,27,A_juez_no_en_lista,no,,sin_dispositivo,,,sin_firma_post_fallo,,,"L1: RECURSO DE QUEJA: Trámite.; L9: –De los precedentes “Pérez Figueroa” y “Daponte”, a los que remitió la Corte; L22: berto s/ presunta infracción art. 174, inc. 5º C.P. –causa Nº 6447–”,","Autos y Vistos: | Por haber transcurrido el plazo fijado en el art. 310, inc. 2º, del | Código Procesal Civil y Comercial de la Nación de aplicación al caso en | virtud de lo resuelto por esta Corte en Fallos: 317:1642; 321:1689 y en | las causas P.572.XXXIII “Pérez Figueroa, Eduardo y Weisgerber, Ro- | berto s/ presunta infracción art. 174, inc. 5º C.P. –causa Nº 6447–”, | considerando 3º, y D.479.XXXV “Daponte, Jorge Luis s/ falsedad ideo- | lógica – incidente de nulidad de ampliación indagato",
330_p4064,330,246,247,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_firma_post_fallo,,,,"ca los recaudos básicos que deben reunir tales instrumentos, resulta | necesario que sean expedidos en forma que permitan identificar con | nitidez las circunstancias que justifican el reclamo por la vía elegida | 4071 | DE JUSTICIA DE LA NACION | 330 | (Fallos: 322:804), y el acompañado con el escrito inicial constituye tí- | tulo ejecutivo suficiente, sin que sea posible revisar en este juicio su | proceso de formación (Fallos: 323:685 y causa O.296.XXXVI “Obra",
330_p4071,330,205,206,D_sin_pistas_firma,si,por_todo_ello,tier1_fallback,97,,sin_firma_post_fallo,,,,"La jueza Highton de Nolasco se remite a su disidencia en el prece- | dente mencionado en primer término en este considerando. | 10) Que en virtud de las particularidades de la relación jurídica | sobre la que versaron las actuaciones, corresponde distribuir las cos- | tas en el orden causado (arg. precedentes citados en el considerando | 9º; art. 68, segunda parte, del Código Procesal Civil y Comercial de la | Nación). | Por ello, por mayoría, se resuelve: Declarar que las disposiciones | del de","la que le asigna un innegable carácter alimentario. | Por todo ello pidió al Tribunal que se ordene al Banco de la Ciudad | de Buenos Aires, sucursal Tribunales, que mantenga en dólares esta- | dounidenses las sumas que fueron depositadas en su oportunidad en | la cuenta judicial correspondiente a e"
330_p4528,330,47,48,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_firma_post_fallo,,,,"sobre el punto. | 4530 | FALLOS DE LA CORTE SUPREMA | 330 | 4º) Que el planteo formulado por el actor a fs. 126/127 con poste- | rioridad al vencimiento de los plazos y tendiente a que se aplique el | precedente de Fallos: 328:1602 y 2833 (“Sánchez”), remite al examen | de cuestiones sustancialmente análogas a las examinadas por el Tri- | bunal en Fallos: 328:3041 (“Andino”) y en la causa C.617.XLI “Cortiñaz,",
