caso_id_canonico,materia,materia_capa,materia_fuente
346_p361,,originaria,originaria
346_p382,contencioso_administrativo,capa2,provincia:ca
346_p387,penal,capa2,kw+objeto(2)
346_p390,,no_aplica,tipo_entrada=sumario_con_link
346_p391,contencioso_administrativo,capa2,provincia:ca
346_p403,civil_comercial,capa2,objeto(1)
346_p407,penal,capa1,regla:casacion penal
346_p431,,no_aplica,tipo_entrada=sumario_con_link
346_p432,,originaria,originaria
346_p439,laboral,capa2,kw+norma:24557+parte(3)
346_p441,contencioso_administrativo,capa2,provincia:ca
346_p461,,originaria,originaria
346_p467,civil_comercial,capa1,regla:\ben lo civil\b
346_p476,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
346_p484,laboral,capa1,regla:\bdel trabajo\b
346_p489,contencioso_administrativo,capa2,provincia:ca
346_p491,civil_comercial,capa1,regla:civil y comercial federal
346_p494,,originaria,originaria
346_p497,,originaria,originaria
346_p502,civil_comercial,capa1,regla:\ben lo comercial\b
346_p515,penal,capa2,objeto(1)
346_p532,previsional,capa2,norma:24241+objeto+parte(3)
346_p535,contencioso_administrativo,capa2,provincia:ca
346_p537,laboral,capa1,regla:\bdel trabajo\b
346_p542,,no_aplica,tipo_entrada=sumario_con_link
346_p580,constitucional,capa2,objeto(1)
346_p610,,pendiente_capa2,conflicto_capa2:cambiario/previsional
346_p613,,pendiente_capa2,sin_ancla
346_p624,,no_aplica,tipo_entrada=sumario_con_link
346_p625,,no_aplica,tipo_entrada=sumario_con_link
346_p626,,no_aplica,tipo_entrada=sumario_con_link
346_p627,constitucional,capa2,objeto(1)
346_p629,laboral,capa1,regla:\bdel trabajo\b
346_p634,,pendiente_capa2,conflicto_capa2:contencioso_administrativo/previsional
346_p646,laboral,capa1,regla:\bdel trabajo\b
346_p650,civil_comercial,capa1,regla:\ben lo civil\b
346_p658,penal,capa2,objeto(1)
346_p668,penal,capa2,norma:24767(1)
346_p675,contencioso_administrativo,capa2,norma:25871(1)
346_p678,contencioso_administrativo,capa2,provincia:ca
346_p683,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
346_p695,previsional,capa1,regla:seguridad social
346_p697,penal,capa1,regla:casacion penal
346_p706,,pendiente_capa2,sin_ancla
346_p718,contencioso_administrativo,capa2,provincia:ca
346_p730,salud,capa2,coocur:salud_amparo
346_p736,penal,capa2,kw+norma:24767+objeto(3)
346_p741,laboral,capa1,regla:\bdel trabajo\b
346_p745,,originaria,originaria
346_p750,,originaria,originaria
346_p754,contencioso_administrativo,capa1,regla:contencioso administrativo
346_p767,,originaria,originaria
346_p776,tributario,capa2,kw(1)
346_p802,civil_comercial,capa2,coocur:danos_transito
346_p807,civil_comercial,capa1,regla:\ben lo civil\b
346_p811,previsional,capa1,regla:seguridad social
346_p814,contencioso_administrativo,capa1,regla:contencioso administrativo
346_p821,,originaria,originaria
346_p834,tributario,capa2,parte(1)
346_p846,laboral,capa1,regla:\bdel trabajo\b
346_p850,previsional,capa1,regla:seguridad social
346_p854,tributario,capa2,parte(1)
346_p864,,no_aplica,tipo_entrada=sumario_con_link
346_p866,salud,capa2,coocur:salud_amparo
346_p868,laboral,capa1,regla:\bdel trabajo\b
346_p885,contencioso_administrativo,capa1,regla:contencioso administrativo
346_p887,,no_aplica,tipo_entrada=sumario_con_link
346_p888,civil_comercial,capa1,regla:\ben lo comercial\b
346_p893,,originaria,originaria
346_p902,,pendiente_capa2,sin_ancla
346_p920,,no_aplica,tipo_entrada=sumario_con_link
346_p921,,pendiente_capa2,sin_ancla
346_p931,contencioso_administrativo,capa2,provincia:ca
346_p939,penal,capa2,objeto(1)
346_p944,,originaria,originaria
346_p960,laboral,capa2,kw(1)
346_p965,,pendiente_capa2,sin_ancla
346_p969,,no_aplica,tipo_entrada=sumario_editorial
346_p970,contencioso_administrativo,capa1,regla:contencioso administrativo
346_p1015,,originaria,originaria
