caso_id_canonico,materia,materia_capa,materia_fuente
329_p5,contencioso_administrativo,capa2,provincia:ca
329_p9,civil_comercial,capa1,regla:civil y comercial federal
329_p12,,pendiente_capa2,sin_ancla
329_p15,civil_comercial,capa1,regla:\ben lo comercial\b
329_p19,,pendiente_capa2,sin_ancla
329_p20,civil_comercial,capa1,regla:\ben lo civil\b
329_p28,contencioso_administrativo,capa2,provincia:ca
329_p40,,originaria,originaria
329_p47,,originaria,originaria
329_p49,,originaria,originaria
329_p53,,originaria,originaria
329_p59,,originaria,originaria
329_p78,,originaria,originaria
329_p80,,pendiente_capa2,sin_ancla
329_p83,,pendiente_capa2,sin_ancla
329_p85,,pendiente_capa2,sin_ancla
329_p88,previsional,capa1,regla:seguridad social
329_p94,tributario,capa2,norma:11683+objeto(2)
329_p117,penal,capa1,regla:oral en lo criminal
329_p120,civil_comercial,capa1,regla:\ben lo comercial\b
329_p123,contencioso_administrativo,capa2,provincia:ca
329_p134,civil_comercial,capa1,regla:\ben lo civil\b
329_p135,civil_comercial,capa1,regla:\ben lo civil\b
329_p142,,pendiente_capa2,sin_ancla
329_p147,civil_comercial,capa1,regla:\ben lo civil\b
329_p149,penal,capa1,regla:casacion penal
329_p158,civil_comercial,capa1,regla:\ben lo comercial\b
329_p163,,originaria,originaria
329_p165,,originaria,originaria
329_p167,civil_comercial,capa2,kw+objeto(2)
329_p171,penal,capa2,kw(1)
329_p175,,pendiente_capa2,sin_ancla
329_p177,previsional,capa1,regla:seguridad social
329_p182,previsional,capa1,regla:seguridad social
329_p184,constitucional,capa2,objeto(1)
329_p187,electoral,capa1,regla:electoral
329_p201,penal,capa1,regla:penal economico
329_p206,civil_comercial,capa1,regla:\ben lo comercial\b
329_p212,,originaria,originaria
329_p215,contencioso_administrativo,capa2,provincia:ca
329_p218,civil_comercial,capa1,regla:civil y comercial federal
329_p222,contencioso_administrativo,capa2,provincia:ca
329_p224,,originaria,originaria
329_p229,,pendiente_capa2,sin_ancla
329_p231,penal,capa2,kw+objeto(2)
329_p234,laboral,capa2,norma:23551(1)
329_p237,previsional,capa2,norma:24241+parte(2)
329_p239,previsional,capa1,regla:seguridad social
329_p241,,originaria,originaria
329_p243,,pendiente_capa2,sin_ancla
329_p244,penal,capa1,regla:criminal y correccional
329_p292,penal,capa1,regla:criminal y correccional
329_p297,penal,capa1,regla:criminal y correccional
329_p300,,pendiente_capa2,conflicto_capa2:cambiario/civil_comercial
329_p304,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p309,laboral,capa1,regla:\bdel trabajo\b
329_p314,civil_comercial,capa1,regla:\ben lo comercial\b
329_p317,civil_comercial,capa1,regla:\ben lo civil\b
329_p318,penal,capa1,regla:casacion penal
329_p324,,no_aplica,tipo_entrada=sumario_editorial
329_p326,,no_aplica,tipo_entrada=sumario_editorial
329_p329,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
329_p330,civil_comercial,capa1,regla:\ben lo civil\b
329_p335,laboral,capa1,regla:\bdel trabajo\b
329_p342,civil_comercial,capa1,regla:\ben lo civil\b
329_p349,contencioso_administrativo,capa2,provincia:ca
329_p353,,originaria,originaria
329_p358,,originaria,originaria
329_p370,,pendiente_capa2,sin_ancla
329_p373,previsional,capa1,regla:seguridad social
329_p381,previsional,capa1,regla:seguridad social
329_p383,previsional,capa2,objeto+parte(2)
329_p385,,pendiente_capa2,sin_ancla
329_p429,civil_comercial,capa2,objeto(1)
329_p431,civil_comercial,capa1,regla:\ben lo civil\b
329_p432,contencioso_administrativo,capa2,objeto(1)
329_p437,penal,capa2,objeto(1)
329_p440,,pendiente_capa2,sin_ancla
329_p445,penal,capa2,kw+objeto(2)
329_p463,civil_comercial,capa1,regla:civil y comercial federal
329_p471,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p472,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p473,laboral,capa1,regla:\bdel trabajo\b
329_p491,penal,capa1,regla:casacion penal
329_p493,,pendiente_capa2,sin_ancla
329_p495,,pendiente_capa2,sin_ancla
329_p500,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p502,laboral,capa1,regla:\bdel trabajo\b
329_p510,,pendiente_capa2,sin_ancla
329_p513,contencioso_administrativo,capa2,provincia:ca
329_p518,penal,capa1,regla:casacion penal
329_p526,penal,capa1,regla:casacion penal
329_p530,,pendiente_capa2,sin_ancla
329_p537,contencioso_administrativo,capa2,provincia:ca
329_p542,,originaria,originaria
329_p545,,originaria,originaria
329_p548,contencioso_administrativo,capa2,provincia:ca
329_p551,,originaria,originaria
329_p553,,originaria,originaria
329_p560,,originaria,originaria
329_p565,civil_comercial,capa2,kw(1)
329_p568,,pendiente_capa2,sin_ancla
329_p570,,pendiente_capa2,conflicto_capa2:penal/tributario
329_p573,previsional,capa1,regla:seguridad social
329_p576,previsional,capa1,regla:seguridad social
329_p584,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p595,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p617,,originaria,originaria
329_p619,,pendiente_capa2,sin_ancla
329_p620,penal,capa1,regla:casacion penal
329_p622,,pendiente_capa2,sin_ancla
329_p623,tributario,capa2,parte(1)
329_p624,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p629,contencioso_administrativo,capa2,provincia:ca
329_p634,,pendiente_capa2,sin_ancla
329_p639,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p646,civil_comercial,capa2,objeto(1)
329_p669,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p679,,pendiente_capa2,sin_ancla
329_p689,,pendiente_capa2,sin_ancla
329_p695,civil_comercial,capa1,regla:\ben lo civil\b
329_p710,contencioso_administrativo,capa2,provincia:ca
329_p716,penal,capa1,regla:casacion penal
329_p717,laboral,capa1,regla:\bdel trabajo\b
329_p723,penal,capa2,objeto(1)
329_p730,,pendiente_capa2,sin_ancla
329_p734,laboral,capa1,regla:\bdel trabajo\b
329_p741,laboral,capa1,regla:\bdel trabajo\b
329_p743,penal,capa2,norma:24767(1)
329_p752,,pendiente_capa2,sin_ancla
329_p753,contencioso_administrativo,capa2,provincia:ca
329_p755,contencioso_administrativo,capa2,provincia:ca
329_p759,,originaria,originaria
329_p772,,originaria,originaria
329_p776,,originaria,originaria
329_p780,,originaria,originaria
329_p783,,originaria,originaria
329_p789,tributario,capa2,kw(2)
329_p792,,originaria,originaria
329_p803,contencioso_administrativo,capa2,provincia:ca
329_p805,contencioso_administrativo,capa2,provincia:ca
329_p809,,originaria,originaria
329_p833,,originaria,originaria
329_p838,contencioso_administrativo,capa2,provincia:ca
329_p840,,pendiente_capa2,sin_ancla
329_p845,,pendiente_capa2,sin_ancla
329_p847,,pendiente_capa2,sin_ancla
329_p851,,originaria,originaria
329_p857,,pendiente_capa2,sin_ancla
329_p860,,pendiente_capa2,sin_ancla
329_p863,,originaria,originaria
329_p865,,pendiente_capa2,sin_ancla
329_p868,previsional,capa1,regla:seguridad social
329_p872,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p879,civil_comercial,capa2,objeto(1)
329_p888,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p892,civil_comercial,capa2,objeto(1)
329_p899,,pendiente_capa2,sin_ancla
329_p904,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p906,penal,capa2,objeto(1)
329_p909,penal,capa2,kw+objeto(2)
329_p926,civil_comercial,capa1,regla:civil y comercial federal
329_p928,contencioso_administrativo,capa2,provincia:ca
329_p937,,originaria,originaria
329_p942,contencioso_administrativo,capa2,provincia:ca
329_p951,civil_comercial,capa2,kw+norma:24522(2)
329_p955,,originaria,originaria
329_p959,previsional,capa1,regla:seguridad social
329_p963,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
329_p972,civil_comercial,capa1,regla:civil y comercial federal
329_p976,contencioso_administrativo,capa2,provincia:ca
329_p984,tributario,capa2,objeto(1)
329_p988,,pendiente_capa2,sin_ancla
329_p989,previsional,capa1,regla:seguridad social
329_p991,civil_comercial,capa1,regla:\ben lo civil\b
329_p993,penal,capa2,objeto(1)
329_p997,contencioso_administrativo,capa2,provincia:ca
329_p1002,contencioso_administrativo,capa2,provincia:ca
329_p1007,contencioso_administrativo,capa2,provincia:ca
329_p1012,contencioso_administrativo,capa2,provincia:ca
329_p1019,,originaria,originaria
329_p1022,civil_comercial,capa2,norma:17418(1)
329_p1024,,pendiente_capa2,sin_ancla
329_p1028,ambiental,capa2,norma:24051(1)
329_p1030,civil_comercial,capa2,norma:11723(1)
329_p1033,cambiario,capa2,parte(1)
329_p1035,,pendiente_capa2,sin_ancla
329_p1040,,pendiente_capa2,sin_ancla
329_p1045,constitucional,capa2,objeto(1)
329_p1049,,pendiente_capa2,sin_ancla
329_p1053,penal,capa1,regla:penal economico
329_p1066,,pendiente_capa2,sin_ancla
329_p1092,previsional,capa1,regla:seguridad social
329_p1180,civil_comercial,capa1,regla:\ben lo comercial\b
329_p1191,,pendiente_capa2,sin_ancla
329_p1209,penal,capa2,objeto(1)
329_p1219,penal,capa1,regla:casacion penal
329_p1224,contencioso_administrativo,capa2,provincia:ca
329_p1226,contencioso_administrativo,capa2,provincia:ca
329_p1236,,pendiente_capa2,sin_ancla
329_p1241,,pendiente_capa2,sin_ancla
329_p1243,civil_comercial,capa2,objeto(1)
329_p1245,laboral,capa1,regla:\bdel trabajo\b
329_p1301,laboral,capa1,regla:\bdel trabajo\b
329_p1303,,pendiente_capa2,sin_ancla
329_p1305,,pendiente_capa2,sin_ancla
329_p1306,civil_comercial,capa1,regla:\ben lo civil\b
329_p1307,,pendiente_capa2,sin_ancla
329_p1309,,pendiente_capa2,sin_ancla
329_p1310,,pendiente_capa2,sin_ancla
329_p1311,,originaria,originaria
329_p1317,,originaria,originaria
329_p1324,penal,capa2,kw+objeto(2)
329_p1328,,pendiente_capa2,sin_ancla
329_p1330,,originaria,originaria
329_p1332,penal,capa2,kw(1)
329_p1336,,pendiente_capa2,sin_ancla
329_p1338,,pendiente_capa2,sin_ancla
329_p1341,,pendiente_capa2,sin_ancla
329_p1343,penal,capa2,kw(1)
329_p1348,tributario,capa2,parte(1)
329_p1350,tributario,capa2,objeto+parte(2)
329_p1375,,pendiente_capa2,sin_ancla
329_p1377,,pendiente_capa2,sin_ancla
329_p1380,contencioso_administrativo,capa2,provincia:ca
329_p1383,,pendiente_capa2,sin_ancla
329_p1385,,originaria,originaria
329_p1389,,pendiente_capa2,sin_ancla
329_p1391,contencioso_administrativo,capa2,provincia:ca
329_p1397,civil_comercial,capa1,regla:\ben lo comercial\b
329_p1399,civil_comercial,capa1,regla:civil y comercial federal
329_p1417,penal,capa1,regla:criminal y correccional
329_p1425,penal,capa1,regla:criminal y correccional
329_p1434,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p1436,penal,capa1,regla:casacion penal
329_p1440,laboral,capa1,regla:\bdel trabajo\b
329_p1447,penal,capa2,objeto(1)
329_p1473,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p1480,penal,capa2,objeto(1)
329_p1487,,pendiente_capa2,sin_ancla
329_p1488,laboral,capa1,regla:\bdel trabajo\b
329_p1490,civil_comercial,capa1,regla:\ben lo civil\b
329_p1493,penal,capa1,regla:casacion penal
329_p1501,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p1506,civil_comercial,capa1,regla:\ben lo comercial\b
329_p1514,penal,capa1,regla:casacion penal
329_p1521,,pendiente_capa2,sin_ancla
329_p1522,civil_comercial,capa1,regla:\ben lo civil\b
329_p1538,civil_comercial,capa1,regla:\ben lo comercial\b
329_p1539,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p1541,penal,capa1,regla:casacion penal
329_p1554,,originaria,originaria
329_p1568,,originaria,originaria
329_p1586,,originaria,originaria
329_p1603,,originaria,originaria
329_p1609,,pendiente_capa2,sin_ancla
329_p1611,previsional,capa1,regla:seguridad social
329_p1619,previsional,capa1,regla:seguridad social
329_p1622,previsional,capa1,regla:seguridad social
329_p1626,,pendiente_capa2,sin_ancla
329_p1628,,pendiente_capa2,sin_ancla
329_p1631,civil_comercial,capa1,regla:\ben lo civil\b
329_p1638,,pendiente_capa2,sin_ancla
329_p1655,,pendiente_capa2,sin_ancla
329_p1661,civil_comercial,capa1,regla:\ben lo civil\b
329_p1669,,pendiente_capa2,sin_ancla
329_p1671,,pendiente_capa2,sin_ancla
329_p1672,previsional,capa2,parte(1)
329_p1673,contencioso_administrativo,capa2,provincia:ca
329_p1675,,originaria,originaria
329_p1684,,originaria,originaria
329_p1690,,pendiente_capa2,sin_ancla
329_p1693,,pendiente_capa2,sin_ancla
329_p1696,contencioso_administrativo,capa2,provincia:ca
329_p1699,contencioso_administrativo,capa2,provincia:ca
329_p1703,contencioso_administrativo,capa2,norma:21499(1)
329_p1714,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p1715,civil_comercial,capa1,regla:civil y comercial federal
329_p1723,,pendiente_capa2,sin_ancla
329_p1756,penal,capa2,kw(1)
329_p1758,civil_comercial,capa1,regla:\ben lo civil\b
329_p1762,cambiario,capa2,parte(1)
329_p1767,cambiario,capa2,parte(1)
329_p1779,penal,capa1,regla:casacion penal
329_p1787,tributario,capa2,parte(1)
329_p1794,,pendiente_capa2,sin_ancla
329_p1805,contencioso_administrativo,capa2,provincia:ca
329_p1812,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
329_p1821,,pendiente_capa2,sin_ancla
329_p1826,,pendiente_capa2,sin_ancla
329_p1831,,originaria,originaria
329_p1834,contencioso_administrativo,capa2,provincia:ca
329_p1836,,originaria,originaria
329_p1839,,originaria,originaria
329_p1843,,originaria,originaria
329_p1847,,originaria,originaria
329_p1853,contencioso_administrativo,capa2,provincia:ca
329_p1857,,originaria,originaria
329_p1859,contencioso_administrativo,capa2,provincia:ca
329_p1862,penal,capa2,kw(1)
329_p1875,,originaria,originaria
329_p1881,,originaria,originaria
329_p1898,,originaria,originaria
329_p1905,,pendiente_capa2,sin_ancla
329_p1908,,pendiente_capa2,sin_ancla
329_p1910,,pendiente_capa2,sin_ancla
329_p1912,penal,capa2,objeto(1)
329_p1915,,pendiente_capa2,sin_ancla
329_p1917,,pendiente_capa2,sin_ancla
329_p1921,,pendiente_capa2,sin_ancla
329_p1924,,pendiente_capa2,sin_ancla
329_p1928,previsional,capa2,norma:22955+objeto+parte(3)
329_p1930,previsional,capa1,regla:seguridad social
329_p1933,civil_comercial,capa1,regla:\ben lo comercial\b
329_p1936,civil_comercial,capa1,regla:\ben lo comercial\b
329_p1938,penal,capa1,regla:criminal y correccional
329_p1951,penal,capa1,regla:penal economico
329_p1963,,pendiente_capa2,sin_ancla
329_p1969,,pendiente_capa2,sin_ancla
329_p1972,,pendiente_capa2,sin_ancla
329_p1974,penal,capa1,regla:casacion penal
329_p1984,penal,capa1,regla:casacion penal
329_p1998,penal,capa1,regla:casacion penal
329_p2005,penal,capa1,regla:criminal y correccional
329_p2024,civil_comercial,capa1,regla:\ben lo comercial\b
329_p2030,tributario,capa2,parte(1)
329_p2037,civil_comercial,capa1,regla:\ben lo comercial\b
329_p2043,civil_comercial,capa2,objeto(1)
329_p2045,civil_comercial,capa2,objeto(1)
329_p2051,penal,capa2,objeto(1)
329_p2055,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
329_p2060,civil_comercial,capa1,regla:\ben lo civil\b
329_p2062,,pendiente_capa2,sin_ancla
329_p2063,laboral,capa2,parte(1)
329_p2064,,pendiente_capa2,sin_ancla
329_p2065,,originaria,originaria
329_p2067,,originaria,originaria
329_p2069,,originaria,originaria
329_p2080,,originaria,originaria
329_p2085,,originaria,originaria
329_p2088,contencioso_administrativo,capa2,provincia:ca
329_p2105,,originaria,originaria
329_p2111,,originaria,originaria
329_p2115,,originaria,originaria
329_p2121,,originaria,originaria
329_p2125,contencioso_administrativo,capa2,provincia:ca
329_p2130,,pendiente_capa2,sin_ancla
329_p2133,,pendiente_capa2,sin_ancla
329_p2136,,pendiente_capa2,sin_ancla
329_p2139,penal,capa2,kw+objeto(2)
329_p2142,,pendiente_capa2,sin_ancla
329_p2144,,pendiente_capa2,sin_ancla
329_p2146,previsional,capa1,regla:seguridad social
329_p2149,previsional,capa1,regla:seguridad social
329_p2152,tributario,capa2,objeto+parte(2)
329_p2158,previsional,capa1,regla:seguridad social
329_p2162,previsional,capa1,regla:seguridad social
329_p2166,contencioso_administrativo,capa2,provincia:ca
329_p2173,civil_comercial,capa2,kw(1)
329_p2174,civil_comercial,capa1,regla:\ben lo comercial\b
329_p2179,contencioso_administrativo,capa2,provincia:ca
329_p2186,,pendiente_capa2,sin_ancla
329_p2188,,pendiente_capa2,sin_ancla
329_p2191,previsional,capa1,regla:seguridad social
329_p2194,previsional,capa1,regla:seguridad social
329_p2197,previsional,capa2,norma:24463+objeto+parte(3)
329_p2199,previsional,capa1,regla:seguridad social
329_p2206,,pendiente_capa2,sin_ancla
329_p2212,contencioso_administrativo,capa2,provincia:ca
329_p2217,penal,capa2,objeto(1)
329_p2218,,pendiente_capa2,sin_ancla
329_p2219,penal,capa1,regla:casacion penal
329_p2221,civil_comercial,capa1,regla:\ben lo civil\b
329_p2223,penal,capa1,regla:casacion penal
329_p2224,civil_comercial,capa1,regla:\ben lo comercial\b
329_p2226,contencioso_administrativo,capa2,provincia:ca
329_p2231,,originaria,originaria
329_p2240,constitucional,capa2,objeto(1)
329_p2244,,pendiente_capa2,sin_ancla
329_p2248,,pendiente_capa2,sin_ancla
329_p2251,previsional,capa2,parte(1)
329_p2253,,pendiente_capa2,sin_ancla
329_p2256,,pendiente_capa2,sin_ancla
329_p2258,previsional,capa1,regla:seguridad social
329_p2261,previsional,capa1,regla:seguridad social
329_p2263,,pendiente_capa2,sin_ancla
329_p2265,penal,capa1,regla:casacion penal
329_p2274,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p2280,civil_comercial,capa2,objeto(1)
329_p2284,penal,capa2,objeto(1)
329_p2293,,pendiente_capa2,sin_ancla
329_p2296,,pendiente_capa2,sin_ancla
329_p2312,contencioso_administrativo,capa2,provincia:ca
329_p2314,tributario,capa2,objeto(1)
329_p2316,,originaria,originaria
329_p2342,,pendiente_capa2,sin_ancla
329_p2344,,pendiente_capa2,sin_ancla
329_p2347,previsional,capa1,regla:seguridad social
329_p2351,previsional,capa1,regla:seguridad social
329_p2355,previsional,capa2,parte(1)
329_p2356,electoral,capa1,regla:electoral
329_p2358,ambiental,capa2,norma:24051(1)
329_p2361,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p2367,penal,capa2,kw+objeto(2)
329_p2413,civil_comercial,capa2,objeto(1)
329_p2419,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p2425,civil_comercial,capa1,regla:\ben lo comercial\b
329_p2429,contencioso_administrativo,capa2,provincia:ca
329_p2433,penal,capa1,regla:casacion penal
329_p2440,penal,capa2,kw(1)
329_p2450,penal,capa2,objeto(1)
329_p2459,penal,capa1,regla:casacion penal
329_p2465,,originaria,originaria
329_p2467,,originaria,originaria
329_p2469,,originaria,originaria
329_p2479,contencioso_administrativo,capa2,provincia:ca
329_p2485,,originaria,originaria
329_p2492,,originaria,originaria
329_p2496,ambiental,capa2,norma:24051(1)
329_p2498,previsional,capa1,regla:seguridad social
329_p2503,previsional,capa1,regla:seguridad social
329_p2508,penal,capa2,kw(1)
329_p2511,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p2523,penal,capa2,norma:24767+objeto(2)
329_p2532,,pendiente_capa2,sin_ancla
329_p2539,,pendiente_capa2,sin_ancla
329_p2547,,pendiente_capa2,sin_ancla
329_p2552,contencioso_administrativo,capa2,provincia:ca
329_p2563,contencioso_administrativo,capa2,provincia:ca
329_p2567,civil_comercial,capa1,regla:civil y comercial federal
329_p2569,penal,capa1,regla:casacion penal
329_p2575,civil_comercial,capa1,regla:civil y comercial federal
329_p2584,laboral,capa1,regla:\bdel trabajo\b
329_p2588,laboral,capa1,regla:\bdel trabajo\b
329_p2591,laboral,capa1,regla:\bdel trabajo\b
329_p2596,penal,capa1,regla:casacion penal
329_p2600,,pendiente_capa2,sin_ancla
329_p2601,laboral,capa1,regla:\bdel trabajo\b
329_p2606,civil_comercial,capa1,regla:\ben lo comercial\b
329_p2610,,pendiente_capa2,sin_ancla
329_p2614,penal,capa2,objeto(1)
329_p2620,contencioso_administrativo,capa2,provincia:ca
329_p2626,civil_comercial,capa1,regla:\ben lo comercial\b
329_p2631,penal,capa1,regla:casacion penal
329_p2645,,pendiente_capa2,sin_ancla
329_p2649,civil_comercial,capa1,regla:\ben lo civil\b
329_p2655,civil_comercial,capa1,regla:\ben lo civil\b
329_p2659,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
329_p2667,,pendiente_capa2,sin_ancla
329_p2672,,pendiente_capa2,sin_ancla
329_p2674,civil_comercial,capa1,regla:\ben lo civil\b
329_p2680,,originaria,originaria
329_p2684,,originaria,originaria
329_p2688,civil_comercial,capa2,objeto(1)
329_p2714,contencioso_administrativo,capa2,provincia:ca
329_p2719,contencioso_administrativo,capa2,provincia:ca
329_p2726,contencioso_administrativo,capa2,provincia:ca
329_p2729,tributario,capa2,kw+objeto(2)
329_p2731,constitucional,capa2,objeto(1)
329_p2733,contencioso_administrativo,capa2,provincia:ca
329_p2735,contencioso_administrativo,capa2,provincia:ca
329_p2737,,originaria,originaria
329_p2745,,originaria,originaria
329_p2754,contencioso_administrativo,capa2,provincia:ca
329_p2757,contencioso_administrativo,capa2,provincia:ca
329_p2759,contencioso_administrativo,capa2,provincia:ca
329_p2761,contencioso_administrativo,capa2,provincia:ca
329_p2764,,originaria,originaria
329_p2779,tributario,capa2,kw(1)
329_p2781,,pendiente_capa2,sin_ancla
329_p2784,,pendiente_capa2,sin_ancla
329_p2787,contencioso_administrativo,capa2,provincia:ca
329_p2790,,pendiente_capa2,sin_ancla
329_p2793,,pendiente_capa2,sin_ancla
329_p2796,,pendiente_capa2,sin_ancla
329_p2800,,pendiente_capa2,sin_ancla
329_p2802,,pendiente_capa2,sin_ancla
329_p2805,,pendiente_capa2,sin_ancla
329_p2808,,pendiente_capa2,sin_ancla
329_p2810,,pendiente_capa2,sin_ancla
329_p2815,penal,capa2,kw(1)
329_p2817,,pendiente_capa2,sin_ancla
329_p2819,,pendiente_capa2,sin_ancla
329_p2823,,pendiente_capa2,sin_ancla
329_p2825,previsional,capa1,regla:seguridad social
329_p2827,previsional,capa1,regla:seguridad social
329_p2829,previsional,capa2,norma:24463+parte(2)
329_p2830,previsional,capa2,objeto+parte(2)
329_p2834,previsional,capa1,regla:seguridad social
329_p2837,,pendiente_capa2,sin_ancla
329_p2844,previsional,capa1,regla:seguridad social
329_p2847,contencioso_administrativo,capa2,objeto(1)
329_p2856,previsional,capa1,regla:seguridad social
329_p2860,,pendiente_capa2,sin_ancla
329_p2864,,pendiente_capa2,sin_ancla
329_p2874,,pendiente_capa2,sin_ancla
329_p2876,civil_comercial,capa1,regla:\ben lo comercial\b
329_p2886,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p2890,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p2896,penal,capa1,regla:casacion penal
329_p2897,contencioso_administrativo,capa2,provincia:ca
329_p2903,contencioso_administrativo,capa2,provincia:ca
329_p2907,civil_comercial,capa1,regla:\ben lo civil\b
329_p2908,civil_comercial,capa1,regla:\ben lo civil\b
329_p2910,penal,capa1,regla:criminal y correccional
329_p2911,,originaria,originaria
329_p2916,contencioso_administrativo,capa2,provincia:ca
329_p2920,,pendiente_capa2,sin_ancla
329_p2922,,pendiente_capa2,sin_ancla
329_p2925,,originaria,originaria
329_p2929,previsional,capa1,regla:seguridad social
329_p2937,previsional,capa1,regla:seguridad social
329_p2939,previsional,capa1,regla:seguridad social
329_p2941,contencioso_administrativo,capa2,objeto(1)
329_p2944,,pendiente_capa2,sin_ancla
329_p2946,,pendiente_capa2,sin_ancla
329_p2948,penal,capa1,regla:criminal y correccional
329_p2949,contencioso_administrativo,capa2,provincia:ca
329_p2967,civil_comercial,capa1,regla:\ben lo comercial\b
329_p2975,contencioso_administrativo,capa2,provincia:ca
329_p2985,civil_comercial,capa1,regla:\ben lo civil\b
329_p2986,,pendiente_capa2,sin_ancla
329_p3006,penal,capa2,kw+objeto(2)
329_p3019,laboral,capa1,regla:\bdel trabajo\b
329_p3021,,pendiente_capa2,sin_ancla
329_p3027,,pendiente_capa2,sin_ancla
329_p3034,penal,capa2,objeto(1)
329_p3046,penal,capa2,objeto(1)
329_p3048,civil_comercial,capa1,regla:\ben lo civil\b
329_p3053,laboral,capa1,regla:\bdel trabajo\b
329_p3054,civil_comercial,capa1,regla:\ben lo civil\b
329_p3059,,originaria,originaria
329_p3065,,originaria,originaria
329_p3074,,originaria,originaria
329_p3082,,pendiente_capa2,sin_ancla
329_p3087,,pendiente_capa2,sin_ancla
329_p3089,previsional,capa1,regla:seguridad social
329_p3100,previsional,capa1,regla:seguridad social
329_p3103,,pendiente_capa2,sin_ancla
329_p3106,,pendiente_capa2,sin_ancla
329_p3109,,pendiente_capa2,sin_ancla
329_p3115,contencioso_administrativo,capa2,provincia:ca
329_p3121,,pendiente_capa2,sin_ancla
329_p3122,,pendiente_capa2,sin_ancla
329_p3127,civil_comercial,capa1,regla:\ben lo comercial\b
329_p3129,penal,capa2,objeto(1)
329_p3134,civil_comercial,capa1,regla:\ben lo comercial\b
329_p3139,penal,capa2,objeto(1)
329_p3148,civil_comercial,capa1,regla:\ben lo civil\b
329_p3162,,originaria,originaria
329_p3165,,originaria,originaria
329_p3168,civil_comercial,capa2,objeto(1)
329_p3176,,originaria,originaria
329_p3184,contencioso_administrativo,capa2,provincia:ca
329_p3190,,originaria,originaria
329_p3196,civil_comercial,capa2,objeto(1)
329_p3198,,pendiente_capa2,sin_ancla
329_p3201,,pendiente_capa2,sin_ancla
329_p3203,previsional,capa1,regla:seguridad social
329_p3207,previsional,capa1,regla:seguridad social
329_p3211,previsional,capa1,regla:seguridad social
329_p3213,previsional,capa1,regla:seguridad social
329_p3215,previsional,capa1,regla:seguridad social
329_p3218,previsional,capa1,regla:seguridad social
329_p3221,,pendiente_capa2,sin_ancla
329_p3235,penal,capa2,kw(1)
329_p3373,contencioso_administrativo,capa2,objeto(1)
329_p3388,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p3399,,residual,Tribunal de Arbitraje General de la Bolsa de Comercio de Buenos Aires
329_p3400,laboral,capa1,regla:\bdel trabajo\b
329_p3403,civil_comercial,capa2,kw+objeto(2)
329_p3444,,originaria,originaria
329_p3445,ambiental,capa2,kw+norma:25675(2)
329_p3450,,pendiente_capa2,sin_ancla
329_p3452,,pendiente_capa2,sin_ancla
329_p3455,penal,capa2,objeto(1)
329_p3457,previsional,capa1,regla:seguridad social
329_p3459,contencioso_administrativo,capa2,provincia:ca
329_p3464,,pendiente_capa2,sin_ancla
329_p3470,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p3478,civil_comercial,capa1,regla:civil y comercial federal
329_p3486,,pendiente_capa2,sin_ancla
329_p3488,civil_comercial,capa1,regla:\ben lo civil\b
329_p3493,ambiental,capa2,kw+norma:25675(2)
329_p3517,contencioso_administrativo,capa2,provincia:ca
329_p3519,,pendiente_capa2,sin_ancla
329_p3522,,pendiente_capa2,sin_ancla
329_p3525,penal,capa2,objeto(1)
329_p3528,ambiental,capa2,kw+norma:25675(2)
329_p3537,contencioso_administrativo,capa1,regla:contencioso administrativo
329_p3542,civil_comercial,capa1,regla:\ben lo comercial\b
329_p3546,contencioso_administrativo,capa2,objeto(1)
329_p3559,,pendiente_capa2,sin_ancla
