caso_id_canonico,tipo,norma,ambito,n_menciones
329_p1236,ley,1285,voto,3
329_p1236,ley,24655,voto,1
329_p1241,ley,25561,considerando,1
329_p1245,ley,24767,considerando,1
329_p1303,ley,1285,considerando,2
329_p1305,ley,1285,considerando,1
329_p1307,ley,23898,considerando,1
329_p1311,ley,1285,considerando,1
329_p1317,ley,24065,considerando,1
329_p1317,ley,25344,considerando,1
329_p1324,ley,25886,considerando,2
329_p1328,ley,13998,considerando,1
329_p1330,ley,1285,considerando,1
329_p1332,ley,20661,considerando,1
329_p1341,ley,25742,considerando,1
329_p1348,ley,1181,considerando,1
329_p1350,ley,24368,voto,1
329_p1350,ley,25519,voto,1
329_p1389,ley,23660,considerando,1
329_p1389,ley,24655,considerando,1
329_p1397,ley,1285,considerando,2
329_p1397,ley,21708,considerando,1
329_p1399,ley,1285,considerando,1
329_p1399,ley,1285,voto,1
329_p1417,ley,24767,considerando,5
329_p1425,ley,24767,considerando,3
329_p1425,ley,24767,voto,1
329_p1434,ley,1285,considerando,1
329_p1434,ley,21708,considerando,1
329_p1473,ley,24411,caratula,1
329_p1493,ley,24769,caratula,1
329_p1506,ley,11683,voto,3
329_p1506,ley,24522,voto,1
329_p1539,ley,1285,considerando,1
329_p1539,ley,21708,considerando,1
329_p1541,ley,23737,considerando,2
329_p1541,ley,4055,considerando,1
329_p1541,ley,1285,voto,1
329_p1541,ley,14467,voto,1
329_p1541,ley,23737,voto,2
329_p1541,ley,23984,voto,1
329_p1541,ley,24050,voto,1
329_p1541,ley,4055,voto,4
329_p1554,ley,24241,considerando,1
329_p1554,ley,5121,considerando,3
329_p1554,ley,5636,considerando,4
329_p1554,ley,6998,considerando,1
329_p1568,ley,1583,considerando,1
329_p1568,ley,1889,considerando,1
329_p1568,ley,24241,considerando,1
329_p1586,ley,24241,considerando,2
329_p1586,ley,6072,considerando,1
329_p1586,ley,6865,considerando,6
329_p1586,ley,6922,considerando,1
329_p1603,ley,1285,considerando,1
329_p1611,ley,1285,considerando,1
329_p1611,ley,21708,considerando,1
329_p1619,ley,18037,considerando,1
329_p1619,ley,24463,considerando,1
329_p1619,ley,24463,voto,2
329_p1626,ley,24922,considerando,1
329_p1628,ley,23696,voto,4
329_p1638,ley,19032,voto,2
329_p1638,ley,25615,voto,1
329_p1655,ley,1285,considerando,1
329_p1655,ley,1285,voto,4
329_p1675,ley,16986,considerando,1
329_p1684,ley,1285,considerando,1
329_p1690,ley,23049,considerando,1
329_p1693,ley,23660,considerando,1
329_p1696,ley,21839,considerando,1
329_p1699,ley,21839,considerando,1
329_p1703,ley,1285,considerando,1
329_p1703,ley,21499,considerando,1
329_p1703,ley,24242,considerando,3
329_p1756,ley,25990,considerando,1
329_p1812,ley,11683,considerando,1
329_p1812,ley,23349,considerando,2
329_p1836,ley,1285,considerando,1
329_p1839,ley,1285,considerando,1
329_p1847,ley,1285,considerando,1
329_p1853,ley,25736,considerando,1
329_p1853,ley,6982,considerando,2
329_p1862,ley,17711,considerando,1
329_p1875,ley,24557,considerando,3
329_p1881,ley,19551,considerando,2
329_p1881,ley,7205,considerando,2
329_p1898,ley,25881,considerando,3
329_p1898,ley,6667,considerando,2
329_p1898,ley,6682,considerando,1
329_p1910,ley,11612,considerando,1
329_p1917,ley,1285,considerando,1
329_p1917,ley,25742,considerando,1
329_p1924,ley,1285,considerando,1
329_p1928,ley,22955,considerando,1
329_p1930,ley,22955,considerando,1
329_p1930,ley,18037,voto,3
329_p1930,ley,22955,voto,9
329_p1930,ley,23966,voto,2
329_p1930,ley,24019,voto,2
329_p1936,ley,1285,considerando,1
329_p1936,ley,24522,considerando,3
329_p1938,ley,1612,caratula,1
329_p1938,ley,24767,considerando,2
329_p1951,ley,22802,caratula,1
329_p1951,ley,22802,voto,2
329_p1972,ley,16986,considerando,1
329_p1974,ley,22415,voto,1
329_p1984,ley,1285,voto,1
329_p1984,ley,24050,voto,1
329_p1984,ley,4055,voto,1
329_p1998,ley,23984,considerando,1
329_p2005,ley,25990,voto,1
329_p2055,ley,23982,considerando,2
329_p2055,ley,25344,considerando,4
329_p2055,ley,23982,voto,1
329_p2055,ley,25344,voto,3
329_p2062,ley,24946,voto,1
329_p2063,ley,24946,voto,2
329_p2069,ley,1285,considerando,1
329_p2069,ley,1285,voto,1
329_p2080,ley,1285,considerando,1
329_p2111,ley,2841,considerando,1
329_p2111,ley,9631,considerando,1
329_p2115,ley,1285,considerando,1
329_p2115,ley,1285,voto,1
329_p2125,ley,23251,considerando,2
329_p2146,ley,23966,considerando,3
329_p2146,ley,24018,considerando,6
329_p2146,ley,24019,considerando,2
329_p2146,ley,24241,considerando,1
329_p2146,ley,24463,considerando,4
329_p2146,ley,25668,considerando,1
329_p2146,ley,24018,dispositivo,1
329_p2149,ley,18037,considerando,1
329_p2149,ley,20475,considerando,6
329_p2149,ley,24463,considerando,1
329_p2158,ley,24764,considerando,1
329_p2158,ley,25401,considerando,1
329_p2158,ley,16986,dispositivo,1
329_p2166,ley,11330,considerando,1
329_p2194,ley,18037,considerando,2
329_p2194,ley,24241,considerando,2
329_p2194,ley,24463,considerando,1
329_p2194,ley,18037,voto,2
329_p2194,ley,24241,voto,2
329_p2194,ley,24463,voto,1
329_p2197,ley,24463,considerando,1
329_p2199,ley,18037,considerando,1
329_p2199,ley,24241,considerando,2
329_p2226,ley,18345,considerando,1
329_p2226,ley,24642,considerando,1
329_p2226,ley,18345,voto,1
329_p2226,ley,24642,voto,1
