caso_id_canonico,disposicion,reenvia,parte_ganadora,via_recurso,multi_recurso,es_revision_fondo,admisibilidad,causa_inadmisibilidad,es_queja
345_p1,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,0
345_p12,no_fondo,no,no_aplica,recurso_extraordinario,no,no,sin_marcador,,0
345_p13,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,ART_280,0
345_p18,no_revision_competencia,no,no_aplica,,no,no,no_aplica,,0
345_p22,no_fondo,no,no_aplica,recurso_extraordinario,no,no,no_aplica,,0
345_p37,no_revision_competencia,no,no_aplica,,no,no,sin_marcador,,0
345_p50,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,0
345_p58,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
345_p61,revoca,no,recurrente_gana,recurso_extraordinario,si,no,admite,,1
345_p76,no_revision_demanda,no,no_aplica,,no,no,no_aplica,,0
