caso_id_canonico,disposicion,reenvia,parte_ganadora,via_recurso,multi_recurso,es_revision_fondo,admisibilidad,causa_inadmisibilidad,es_queja
346_p1194,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
346_p1195,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
346_p1196,no_revision_competencia,no,no_aplica,,no,no,sin_marcador,,0
346_p1200,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
346_p1201,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
346_p1205,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,0
346_p1208,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
346_p1212,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1218,no_revision_demanda,no,no_aplica,,no,no,no_aplica,,0
346_p1233,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
346_p1234,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,0
346_p1241,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,0
346_p1243,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
346_p1248,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
346_p1257,revoca,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1272,no_fondo,no,no_aplica,,no,no,no_aplica,,0
346_p1279,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
346_p1280,revoca,si,recurrente_gana,recurso_extraordinario,si,si,admite,,1
346_p1295,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
346_p1296,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1304,revoca,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1311,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1313,no_fondo,no,no_aplica,recurso_ordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0
346_p1316,no_revision_demanda,no,no_aplica,,no,no,no_aplica,,0
346_p1339,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,0
346_p1355,no_fondo,no,no_aplica,,no,no,no_aplica,,0
346_p1361,no_fondo,no,no_aplica,recurso_extraordinario,si,no,no_aplica,,0
346_p1377,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0
346_p1379,confirma,si,recurrente_pierde,recurso_ordinario,no,si,admite,,0
346_p1387,no_revision_demanda,no,no_aplica,,no,no,sin_marcador,,0
346_p1405,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1415,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1419,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1426,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,1
346_p1446,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0
346_p1448,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,no,sin_marcador,,0
346_p1455,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1461,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
346_p1462,confirma,no,recurrente_pierde,recurso_extraordinario,si,si,admite,,0
346_p1471,grant_remand_implicito,si,recurrente_gana,recurso_extraordinario,si,si,admite,,0
346_p1483,revoca,no,recurrente_gana,recurso_extraordinario,si,si,admite,,1
346_p1489,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1501,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1514,revoca,no,recurrente_gana,recurso_extraordinario,no,si,admite,,0
346_p1520,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
346_p1521,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1526,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1538,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1545,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
346_p1549,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1551,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
346_p1552,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
346_p1559,revoca,no,recurrente_gana,,no,no,admite,,1
346_p1564,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p2,no_fondo,no,no_aplica,,no,no,inadmite,INADMISIBLE_REMITE_DICTAMEN,1
347_p6,no_fondo,no,no_aplica,,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1
347_p7,no_fondo,no,no_aplica,,no,no,inadmite,INADMISIBLE_REMITE_DICTAMEN,1
347_p18,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p36,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p43,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,ART_280,1
347_p51,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p62,revoca,no,recurrente_gana,,no,si,admite,,0
347_p69,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p73,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p83,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,0
347_p94,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p100,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p105,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p109,revoca,no,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p116,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,0
347_p127,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p128,no_revision_demanda,no,no_aplica,,no,no,no_aplica,,0
347_p178,no_revision_demanda,no,no_aplica,,no,no,no_aplica,,0
347_p214,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p216,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,1
347_p229,revoca,no,recurrente_gana,recurso_ordinario,no,si,admite,,0
347_p237,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p246,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p247,no_fondo,no,no_aplica,,no,no,inadmite,INADMISIBLE_REMITE_DICTAMEN,1
347_p257,revoca,no,recurrente_gana,recurso_ordinario,no,si,admite,,0
347_p273,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p291,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p302,confirma,no,recurrente_pierde,,no,si,admite,,0
347_p311,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p316,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p320,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p321,no_revision_demanda,no,no_aplica,,no,no,sin_marcador,,0
347_p327,nulidad,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p329,no_fondo,no,no_aplica,recurso_extraordinario,no,no,sin_marcador,,1
347_p338,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p339,revoca,no,recurrente_gana,,no,no,admite,,1
347_p344,nulidad_concesion,si,no_aplica,recurso_extraordinario,no,no,sin_marcador,,0
347_p347,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p352,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1
347_p357,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0
347_p360,deja_sin_efecto,no,recurrente_gana,,no,no,admite,,0
347_p367,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p368,no_fondo,no,no_aplica,,no,no,no_aplica,,0
347_p375,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p379,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,1
347_p391,no_fondo,no,no_aplica,,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0
347_p392,confirma,no,recurrente_pierde,recurso_ordinario,no,si,admite,,0
347_p400,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p411,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p412,no_fondo,no,no_aplica,recurso_extraordinario,si,no,sin_marcador,,0
347_p414,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p426,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p437,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p441,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p459,grant_remand_implicito,si,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p462,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p468,revoca,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p472,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p474,no_fondo,no,no_aplica,recurso_extraordinario,no,no,admite,,1
347_p496,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p500,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
