nombre_canonico,tipo,patron,periodo_desde,periodo_hasta,fuente,nota,testigos
Fernández Gómez,conjuez,cintia\s+fern[áa]ndez\s+g[óo]mez,,,parser<=27.1 (migrada verbatim),,
Moliné O'Connor,titular_historico,eduardo\s+molin[eé]\s+o[’'´`]?\s*connor,,,H191 (B153) — adjudicado sobre firma_raw,fallo viejo publicado tardíamente,329_p3568;329_p4178;330_p224;330_p2793
Bossert,titular_historico,gustavo\s+a\.?\s*bossert,,,H191 (B153) — adjudicado sobre firma_raw,fallo viejo publicado tardíamente,329_p4178
Planes,conjuez,ricardo\s+emilio\s+planes,,,H191 (B153) — adjudicado sobre firma_raw,,329_p2897;329_p4426;329_p4446;329_p5382
Prack,conjuez,horacio\s+(enrique\s+|e\.?\s*)prack,,,H191 (B153) — adjudicado sobre firma_raw,,329_p1655;329_p3649;329_p4688;330_p4930
Enderle,conjuez,guillermo\s+j\.?\s*enderle,,,H191 (B153) — adjudicado sobre firma_raw,,329_p2674;329_p3221;329_p3235
Corchuelo de Huberman,conjuez,hebe\s+(l\.?\s+|lilia\s+)?c[ao]rchuelo(?:\s+de(?:\s+huberman)?)?,,,H191 (B153) — adjudicado sobre firma_raw,,329_p3611;329_p3617;329_p3649;329_p4426;329_p4506;329_p4755;330_p3581;330_p4113
Fernández Vecino,conjuez,graciela\s+n\.?\s*fern[áa]ndez\s+vecino,,,H191 (B153) — adjudicado sobre firma_raw,,329_p3221;329_p3235
Rueda,conjuez,luis\s+roberto\s+rueda,,,H191 (B153) — adjudicado sobre firma_raw,,329_p3775;329_p5382
Munné,conjuez,rodolfo\s+e(?:\.|milio)?\s*munn[eé],,,H191 (B153) — adjudicado sobre firma_raw,,329_p342;329_p3611
Recondo,conjuez,(?:ricardo\s+)?gustavo\s+recondo,,,H191 (B153) — adjudicado sobre firma_raw,,329_p342;330_p1436
Arribillaga,conjuez,liliana\s+marta\s+arribillaga,,,H191 (B153) — adjudicado sobre firma_raw,,329_p1012
Uslenghi,conjuez,alejandro\s+juan\s+uslenghi,,,H191 (B153) — adjudicado sobre firma_raw,,329_p2005
Madueño,conjuez,ra[úu]l\s+madue[ñn]o,,,H191 (B153) — adjudicado sobre firma_raw,,329_p3649
Niremperger,conjuez,zunilda\s+niremperger,,,H191 (B153) — adjudicado sobre firma_raw,,329_p4446
"Fernández, Emilio L.",conjuez,emilio\s+l\.?\s*fern[áa]ndez,,,H191 (B153) — adjudicado sobre firma_raw,,329_p4506
"Fernández, María Beatriz",conjuez,mar[íi]a\s+beatriz\s+fern[áa]ndez,,,H191 (B153) — adjudicado sobre firma_raw,,329_p4663
Tazza,conjuez,alejandr?o\s+o(?:\.|svaldo)?\s*tazza,,,H191 (B153) — adjudicado sobre firma_raw + ensanche H192 (B154),OCR 'Alejando' sin R en 348_p1357,329_p5261;346_p1426;347_p1891;348_p61;348_p635
Lugones,conjuez,narciso\s+juan\s+lugones,,,H191 (B153) — adjudicado sobre firma_raw,,330_p1436
Müller,conjuez,carlos\s+antonio\s+m[üu]ller,,,H192 (B154) — adjudicado sobre firma_raw,variantes MULLER/MÜLLER en disco (la Ü rompe el token del colector),329_p1303;329_p1305;329_p3221;329_p3235
Aranguren,conjuez,(?:beatriz\s+estela\s+aranguren|aranguren\s+beatriz\s+estela),,,H192 (B154) — adjudicado sobre firma_raw,"orden invertido en 348_p563; NO confundir con Juan José Aranguren (ministro PEN, bleed 339_p1223)",347_p1166;348_p563;348_p879;348_p1553;349_p43
Irurzun,conjuez,mart[íi]n\s+irurzun,,,H192 (B154) — adjudicado sobre firma_raw,"en 331_p1397 el ancla de firma es errónea (B148, .md leído: firmó; panel real 7)",338_p1433;344_p1557;331_p1397
