voto_id,caso_id_canonico,tomo,date,juez,source_file,linea_inicio,linea_fin_real,primera_del_caso,doble_cod,cod_juez_ok,cod_posicion,cod_tipo_voto_sep,cod_fragmenta_ratio,cod_punto_divergencia,cod_completitud_caso,notas
329_p1447::5,329_p1447,329,9 de mayo de 2006,Lorenzetti,LibroVol329.2.md,2787,3858,0,0,,,,,,,
329_p1447::6,329_p1447,329,9 de mayo de 2006,Argibay,LibroVol329.2.md,2787,3858,0,0,,,,,,,
329_p1447::7,329_p1447,329,9 de mayo de 2006,Pereyra González (conjuez),LibroVol329.2.md,2787,3858,0,0,,,,,,,
329_p1447::8,329_p1447,329,9 de mayo de 2006,Najurieta (conjuez),LibroVol329.2.md,2787,3858,0,0,,,,,,,
329_p1473::0,329_p1473,329,9 de mayo de 2006,Petracchi,LibroVol329.2.md,3859,4116,1,0,,,,,,,
329_p1473::1,329_p1473,329,9 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,3859,4116,0,0,,,,,,,
329_p1473::2,329_p1473,329,9 de mayo de 2006,Maqueda,LibroVol329.2.md,3859,4116,0,0,,,,,,,
329_p1473::3,329_p1473,329,9 de mayo de 2006,Lorenzetti,LibroVol329.2.md,3859,4116,0,0,,,,,,,
329_p1473::4,329_p1473,329,9 de mayo de 2006,Argibay,LibroVol329.2.md,3859,4116,0,0,,,,,,,
329_p1487::0,329_p1487,329,9 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,4350,4380,1,0,,,,,,,
329_p1487::1,329_p1487,329,9 de mayo de 2006,Maqueda,LibroVol329.2.md,4350,4380,0,0,,,,,,,
329_p1487::2,329_p1487,329,9 de mayo de 2006,Zaffaroni,LibroVol329.2.md,4350,4380,0,0,,,,,,,
329_p1487::3,329_p1487,329,9 de mayo de 2006,Lorenzetti,LibroVol329.2.md,4350,4380,0,0,,,,,,,
329_p1487::4,329_p1487,329,9 de mayo de 2006,Argibay,LibroVol329.2.md,4350,4380,0,0,,,,,,,
